code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,5.93
3037,欣興,2600000,5.34
2383,台光電,445000,4.8
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.05
MU US,MICRON TECHNOLOGY INC,70000,3.93
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.54
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.52
285A JP,KIOXIA HOLDINGS CORP,180000,3.47
PANW US,PALO ALTO NETWORKS INC,150000,3.02
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,3.0
MRVL US,MARVELL TECHNOLOGY INC,205000,2.97
STX US,SEAGATE TECHNOLOGY,60000,2.94
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.8
2330,台積電,650000,2.78
6223,旺矽,242000,2.47
BE US,BLOOM ENERGY CORP- A,210000,2.45
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.41
SPCX US,SPACE EXPLORATION TECHN-CL A,300000,2.32
2308,台達電,720000,2.27
2454,聯發科,300000,2.0
SNDK US,SANDISK CORP,21000,1.94
6871 JP,MICRONICS JAPAN CO LTD,370000,1.85
PLTR US,PALANTIR TECHNOLOGIES INC-A,180000,1.81
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.67
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.59
COHR US,COHERENT INC,95000,1.59
2327,國巨*,1550000,1.57
3017,奇鋐,275000,1.48
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.36
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.29
TER US,TERADYNE INC,55000,1.22
WDC US,WESTERN DIGITAL CORP,40000,1.08
000660 KS,SK HYNIX INC,15000,1.06
3711,日月光投控,1000000,1.06
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.03
FORM US,FORMFACTOR INC,150454,1.0
CRCL US,CIRCLE INTERNET GROUP INC,200000,0.96
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,0.89
AEM US,AGNICO EAGLE MINES LTD,60000,0.73
NET US,CLOUDFLARE INC - CLASS A,45000,0.72
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.7
TWLO US,TWILIO INC - A,55000,0.7
6787 JP,MEIKO ELECTRONICS CO LTD,80000,0.51
AIXA GY,AIXTRON SE,200000,0.5
4979,華星光,450000,0.46
4180 JP,APPIER GROUP INC,950000,0.45
AEHR US,AEHR TEST SYSTEMS,70000,0.43
095340 KS,ISC CO LTD,50000,0.35
