code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.84
3037,欣興,2600000,4.7
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.33
2383,台光電,420000,4.25
BE US,BLOOM ENERGY CORP- A,250000,4.14
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.68
SPCX US,SPACE EXPLORATION TECHN-CL A,400000,3.67
MU US,MICRON TECHNOLOGY INC,60000,3.58
STX US,SEAGATE TECHNOLOGY,60000,3.24
PANW US,PALO ALTO NETWORKS INC,150000,3.02
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.85
CRCL US,CIRCLE INTERNET GROUP INC,480000,2.76
3017,奇鋐,440000,2.74
MSFT US,MICROSOFT CORP(微軟公司),92000,2.71
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.61
2308,台達電,720000,2.46
285A JP,KIOXIA HOLDINGS CORP,110000,2.45
NVDA US,NVIDIA CORP(輝達公司),175000,2.36
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,2.29
2454,聯發科,250000,2.23
2330,台積電,450000,2.11
HOOD US,ROBINHOOD MARKETS INC - A,300120,2.1
000660 KS,SK HYNIX INC,25000,2.01
NOW US,SERVICENOW INC,230000,1.84
4979,華星光,1510000,1.73
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.72
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,1.51
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,1.5
6515,穎崴,100000,1.46
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,249997,1.43
992 HK,LENOVO GROUP LTD,6000000,1.39
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.3
TER US,TERADYNE INC,55000,1.22
NET US,CLOUDFLARE INC - CLASS A,70000,1.19
SNDK US,SANDISK CORP,10000,1.04
INTC US,INTEL CORP,150000,0.94
2303,聯電,3500000,0.91
TWLO US,TWILIO INC - A,55000,0.74
AEM US,AGNICO EAGLE MINES LTD,60000,0.72
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.71
4180 JP,APPIER GROUP INC,950000,0.54
AIXA GY,AIXTRON SE,200000,0.53
NTRA US,NATERA INC,25000,0.48
6274,台燿,130000,0.33
