code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,110500,6.12
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,5.86
285A JP,KIOXIA HOLDINGS CORP,168000,5.39
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),185000,5.09
SNDK US,SANDISK CORP,39000,4.21
MRVL US,MARVELL TECHNOLOGY INC,230000,3.48
6981 JP,MURATA MANUFACTURING CO LTD,960000,3.42
2454,聯發科,410000,3.21
LITE US,LUMENTUM HOLDINGS INC,62000,2.94
2383,台光電,330000,2.9
IFX GY,INFINEON TECHNOLOGIES AG,557550,2.78
WDC US,WESTERN DIGITAL CORP,72000,2.66
6976 JP,TAIYO YUDEN CO LTD,380000,2.6
BE US,BLOOM ENERGY CORP- A,170000,2.59
3037,欣興,1500000,2.53
5706 JP,Mitsui Mining ＆ Smelting Co,130000,2.13
4062 JP,IBIDEN CO LTD,275000,2.09
6787 JP,MEIKO ELECTRONICS CO LTD,175000,2.07
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.96
VSH US,VISHAY INTERTECHNOLOGY INC,580429,1.9
BESI NA,BE SEMICONDUCTOR INDUSTRIES,90000,1.69
2330,台積電,400000,1.65
NOK US,NOKIA CORP-SPON ADR,2100000,1.59
STM US,STMICROELECTRONICS NV-NY SHS,375000,1.52
6515,穎崴,88000,1.5
5274,信驊,46000,1.43
ARM US,ARM HOLDINGS PLC,65518,1.41
AIXA GY,AIXTRON SE,380000,1.34
2308,台達電,350000,1.34
6223,旺矽,115000,1.27
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,97000,1.26
3436 JP,SUMCO CORP,875400,1.23
603256 CH,GRACE FABRIC TECHNOLOGY CO-A,580000,1.17
7826 JP,FURUYA METAL CO LTD,374300,1.14
COHR US,COHERENT INC,55000,1.14
3711,日月光投控,1100000,1.12
8035 JP,TOKYO ELECTRON LTD,46000,1.1
CRWD US,CROWDSTRIKE HOLDINGS INC - A,28000,1.03
3017,奇鋐,215000,0.88
NVDA US,NVIDIA CORP(輝達公司),75000,0.84
2360,致茂,200000,0.8
6920 JP,LASERTEC CORP,50000,0.79
DDOG US,DATADOG INC - CLASS A,60000,0.75
SOI FP,S.O.I.T.E.C.,90000,0.73
AXTI US,AXT INC,140000,0.71
6274,台燿,230000,0.64
6963 JP,ROHM CO LTD,332900,0.57
2303,聯電,2000000,0.48
7769,鴻勁,36000,0.46
