code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,123569,6.11
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),184500,4.98
LITE US,LUMENTUM HOLDINGS INC,102000,4.77
3037,欣興,2600000,4.6
2383,台光電,445000,4.2
AMAT US,APPLIED MATERIALS INC,135000,4.05
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,3.61
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.58
2330,台積電,750000,3.18
2454,聯發科,445000,3.14
285A JP,KIOXIA HOLDINGS CORP,180000,3.13
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,3.1
PANW US,PALO ALTO NETWORKS INC,125000,2.76
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.71
6223,旺矽,242000,2.69
WDC US,WESTERN DIGITAL CORP,105000,2.64
BE US,BLOOM ENERGY CORP- A,210000,2.54
MRVL US,MARVELL TECHNOLOGY INC,205000,2.46
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),115000,2.21
3711,日月光投控,1800000,2.02
NOW US,SERVICENOW INC,270000,1.98
6871 JP,MICRONICS JAPAN CO LTD,370000,1.86
COHR US,COHERENT INC,95000,1.77
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.76
2327,國巨*,1550000,1.58
6976 JP,TAIYO YUDEN CO LTD,450000,1.56
SNDK US,SANDISK CORP,21000,1.49
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.43
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1249899,1.35
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.34
LMT US,LOCKHEED MARTIN CORP,38000,1.32
TER US,TERADYNE INC,55000,1.15
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.09
2308,台達電,328000,1.06
3017,奇鋐,215000,1.06
6787 JP,MEIKO ELECTRONICS CO LTD,160000,0.98
FORM US,FORMFACTOR INC,150454,0.97
AEHR US,AEHR TEST SYSTEMS,140344,0.86
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,0.83
3665,貿聯-KY,190000,0.74
2303,聯電,2500000,0.55
AIXA GY,AIXTRON SE,200000,0.54
9988 HK,ALIBABA GROUP HOLDING LTD,500000,0.46
VECO US,VEECO INSTRUMENTS INC,7952,0.02
