code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,123569,6.12
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),184500,4.93
3037,欣興,2600000,4.32
LITE US,LUMENTUM HOLDINGS INC,92000,4.21
AMAT US,APPLIED MATERIALS INC,135000,4.0
2383,台光電,445000,4.0
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.72
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,3.59
285A JP,KIOXIA HOLDINGS CORP,180000,3.44
2330,台積電,750000,3.09
2454,聯發科,445000,3.05
WDC US,WESTERN DIGITAL CORP,105000,3.02
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,2.8
BE US,BLOOM ENERGY CORP- A,210000,2.73
PANW US,PALO ALTO NETWORKS INC,125000,2.51
6223,旺矽,230000,2.46
MRVL US,MARVELL TECHNOLOGY INC,205000,2.4
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.19
SNDK US,SANDISK CORP,28000,2.1
3665,貿聯-KY,520000,2.1
6871 JP,MICRONICS JAPAN CO LTD,370000,2.07
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),115000,2.02
3711,日月光投控,1800000,1.83
6976 JP,TAIYO YUDEN CO LTD,450000,1.77
NOW US,SERVICENOW INC,270000,1.75
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.63
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.59
2327,國巨*,1550000,1.54
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.34
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1249899,1.32
LMT US,LOCKHEED MARTIN CORP,38000,1.22
8035 JP,TOKYO ELECTRON LTD,55000,1.13
6920 JP,LASERTEC CORP,65000,1.07
2308,台達電,320000,0.91
FTNT US,FORTINET INC,100000,0.91
VECO US,VEECO INSTRUMENTS INC,310000,0.91
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,246988,0.84
AEHR US,AEHR TEST SYSTEMS,140344,0.77
TER US,TERADYNE INC,35000,0.76
6787 JP,MEIKO ELECTRONICS CO LTD,80000,0.7
3017,奇鋐,115000,0.54
2303,聯電,2500000,0.52
AIXA GY,AIXTRON SE,200000,0.49
FORM US,FORMFACTOR INC,75454,0.48
9988 HK,ALIBABA GROUP HOLDING LTD,500000,0.45
4062 JP,IBIDEN CO LTD,60000,0.43
