code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.15
3037,欣興,2600000,4.68
2383,台光電,420000,4.33
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.28
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.68
BE US,BLOOM ENERGY CORP- A,250000,3.65
MU US,MICRON TECHNOLOGY INC,60000,3.57
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),110000,3.11
PANW US,PALO ALTO NETWORKS INC,150000,3.09
CRCL US,CIRCLE INTERNET GROUP INC,480000,3.07
STX US,SEAGATE TECHNOLOGY,60000,2.97
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.87
SPCX US,SPACE EXPLORATION TECHN-CL A,300000,2.79
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.77
MSFT US,MICROSOFT CORP(微軟公司),82000,2.59
2330,台積電,550000,2.56
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,2.55
2308,台達電,720000,2.47
3017,奇鋐,365000,2.35
285A JP,KIOXIA HOLDINGS CORP,110000,2.25
NVDA US,NVIDIA CORP(輝達公司),150000,2.13
NOW US,SERVICENOW INC,230000,2.08
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.7
2454,聯發科,200000,1.69
HOOD US,ROBINHOOD MARKETS INC - A,200120,1.55
4979,華星光,1235000,1.38
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,1.34
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.33
SNDK US,SANDISK CORP,13000,1.25
NET US,CLOUDFLARE INC - CLASS A,70000,1.24
TER US,TERADYNE INC,55000,1.15
000660 KS,SK HYNIX INC,15000,1.08
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1000000,1.02
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,100000,1.02
6515,穎崴,62000,0.85
TWLO US,TWILIO INC - A,55000,0.82
COHR US,COHERENT INC,50000,0.82
AEM US,AGNICO EAGLE MINES LTD,60000,0.77
992 HK,LENOVO GROUP LTD,3000000,0.72
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.71
DASH US,DOORDASH INC - A,50000,0.69
4180 JP,APPIER GROUP INC,950000,0.53
AIXA GY,AIXTRON SE,200000,0.51
NTRA US,NATERA INC,25000,0.51
6274,台燿,130000,0.34
