code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,116000,6.66
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,5.65
285A JP,KIOXIA HOLDINGS CORP,204800,5.63
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,5.63
SNDK US,SANDISK CORP,45000,5.09
6976 JP,TAIYO YUDEN CO LTD,650000,4.02
6981 JP,MURATA MANUFACTURING CO LTD,1066000,3.72
3037,欣興,2200000,3.68
BE US,BLOOM ENERGY CORP- A,230000,3.46
MRVL US,MARVELL TECHNOLOGY INC,230000,3.41
AMAT US,APPLIED MATERIALS INC,93000,3.34
2454,聯發科,445000,2.95
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.89
WDC US,WESTERN DIGITAL CORP,90000,2.86
2327,國巨*,1600000,2.85
2383,台光電,330000,2.78
LITE US,LUMENTUM HOLDINGS INC,62000,2.65
6997 JP,NIPPON CHEMI-CON CORP,1275100,2.15
8035 JP,TOKYO ELECTRON LTD,88000,2.08
4062 JP,IBIDEN CO LTD,275000,2.01
VSH US,VISHAY INTERTECHNOLOGY INC,700429,1.87
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.77
5706 JP,Mitsui Mining ＆ Smelting Co,130000,1.7
2330,台積電,450000,1.69
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,1.62
2303,聯電,6000000,1.54
ARM US,ARM HOLDINGS PLC,80000,1.41
6920 JP,LASERTEC CORP,87500,1.33
3711,日月光投控,1100000,1.17
AIXA GY,AIXTRON SE,380000,1.13
6223,旺矽,115000,1.09
COHR US,COHERENT INC,55000,1.08
3436 JP,SUMCO CORP,875400,1.08
6274,台燿,375000,0.98
6787 JP,MEIKO ELECTRONICS CO LTD,100000,0.95
3017,奇鋐,215000,0.85
6871 JP,MICRONICS JAPAN CO LTD,140000,0.71
7826 JP,FURUYA METAL CO LTD,273000,0.68
6278 JP,UNION TOOL CO,90000,0.62
688146 CH,PERIC SPECIAL GASES CO LTD-A,240000,0.62
2308,台達電,175000,0.53
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,399909,0.49
BESI NA,BE SEMICONDUCTOR INDUSTRIES,23000,0.37
