code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,5.95
3037,欣興,2600000,4.8
2383,台光電,445000,4.66
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.07
MU US,MICRON TECHNOLOGY INC,70000,3.71
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.69
285A JP,KIOXIA HOLDINGS CORP,180000,3.67
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.45
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,3.34
STX US,SEAGATE TECHNOLOGY,60000,3.13
TSEM US,TOWER SEMICONDUCTOR LTD,216825,3.0
PANW US,PALO ALTO NETWORKS INC,150000,2.96
2330,台積電,650000,2.57
BE US,BLOOM ENERGY CORP- A,210000,2.56
MRVL US,MARVELL TECHNOLOGY INC,205000,2.52
2454,聯發科,370000,2.47
6223,旺矽,242000,2.31
WDC US,WESTERN DIGITAL CORP,80000,2.25
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.25
2308,台達電,720000,2.24
SNDK US,SANDISK CORP,21000,1.97
6871 JP,MICRONICS JAPAN CO LTD,370000,1.87
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.77
COHR US,COHERENT INC,95000,1.75
6976 JP,TAIYO YUDEN CO LTD,450000,1.68
PLTR US,PALANTIR TECHNOLOGIES INC-A,180000,1.63
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.6
2327,國巨*,1550000,1.55
SPCX US,SPACE EXPLORATION TECHN-CL A,200000,1.53
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.34
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.32
TER US,TERADYNE INC,55000,1.28
LMT US,LOCKHEED MARTIN CORP,38000,1.18
3017,奇鋐,215000,1.12
FORM US,FORMFACTOR INC,150454,1.09
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.05
6787 JP,MEIKO ELECTRONICS CO LTD,160000,1.02
3711,日月光投控,1000000,1.01
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,0.93
NOW US,SERVICENOW INC,135000,0.83
NET US,CLOUDFLARE INC - CLASS A,45000,0.72
TWLO US,TWILIO INC - A,55000,0.66
AEHR US,AEHR TEST SYSTEMS,70000,0.53
AIXA GY,AIXTRON SE,200000,0.51
4979,華星光,450000,0.4
4180 JP,APPIER GROUP INC,250000,0.11
