code,name,shares,weight
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,6.16
MU US,MICRON TECHNOLOGY INC,108569,5.67
009150 KS,Samsung Electro-Mechanics co(009150 ks),83000,4.1
AMAT US,APPLIED MATERIALS INC,135000,4.07
285A JP,KIOXIA HOLDINGS CORP,180000,3.86
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.75
BE US,BLOOM ENERGY CORP- A,310000,3.68
3037,欣興,2400000,3.66
2383,台光電,410000,3.53
SNDK US,SANDISK CORP,35000,3.05
2330,台積電,750000,3.03
2454,聯發科,445000,2.88
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.71
LITE US,LUMENTUM HOLDINGS INC,57000,2.57
6976 JP,TAIYO YUDEN CO LTD,600000,2.51
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,200000,2.49
8035 JP,TOKYO ELECTRON LTD,110000,2.42
2327,國巨*,1800000,2.13
3711,日月光投控,1800000,1.99
3436 JP,SUMCO CORP,1572000,1.99
6871 JP,MICRONICS JAPAN CO LTD,370000,1.93
6223,旺矽,190000,1.92
6920 JP,LASERTEC CORP,130000,1.87
KLAC US,KLA CORP,160000,1.87
TSEM US,TOWER SEMICONDUCTOR LTD,131825,1.79
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.7
FTNT US,FORTINET INC,200000,1.69
PANW US,PALO ALTO NETWORKS INC,90000,1.64
WDC US,WESTERN DIGITAL CORP,50000,1.52
MRVL US,MARVELL TECHNOLOGY INC,130000,1.49
VECO US,VEECO INSTRUMENTS INC,500000,1.49
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.42
NOW US,SERVICENOW INC,270000,1.4
2303,聯電,6000000,1.4
2308,台達電,320000,1.01
3665,貿聯-KY,250000,0.89
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.61
AIXA GY,AIXTRON SE,200000,0.52
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,599909,0.5
3017,奇鋐,115000,0.44
4062 JP,IBIDEN CO LTD,60000,0.37
AEHR US,AEHR TEST SYSTEMS,10459,0.05
