code,name,shares,weight
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,5.72
MU US,MICRON TECHNOLOGY INC,96000,4.56
285A JP,KIOXIA HOLDINGS CORP,200000,4.27
AMAT US,APPLIED MATERIALS INC,135000,4.22
009150 KS,Samsung Electro-Mechanics co(009150 ks),83000,4.01
3037,欣興,2400000,3.66
6981 JP,MURATA MANUFACTURING CO LTD,1250000,3.61
BE US,BLOOM ENERGY CORP- A,310000,3.57
SNDK US,SANDISK CORP,44331,3.49
6976 JP,TAIYO YUDEN CO LTD,760000,3.27
2327,國巨*,2400000,3.22
2383,台光電,370000,3.19
2454,聯發科,445000,2.84
8035 JP,TOKYO ELECTRON LTD,110000,2.68
2330,台積電,620000,2.64
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.58
3436 JP,SUMCO CORP,1572000,2.49
3711,日月光投控,1800000,2.12
6920 JP,LASERTEC CORP,130000,2.07
MRVL US,MARVELL TECHNOLOGY INC,190000,1.99
KLAC US,KLA CORP,160000,1.96
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,160000,1.85
WDC US,WESTERN DIGITAL CORP,70000,1.82
2303,聯電,6000000,1.66
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.66
6871 JP,MICRONICS JAPAN CO LTD,300000,1.64
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.59
NOW US,SERVICENOW INC,270000,1.57
6223,旺矽,145000,1.56
FTNT US,FORTINET INC,170000,1.52
VECO US,VEECO INSTRUMENTS INC,500000,1.51
LITE US,LUMENTUM HOLDINGS INC,37000,1.46
TSEM US,TOWER SEMICONDUCTOR LTD,105000,1.39
PANW US,PALO ALTO NETWORKS INC,50000,0.99
AIXA GY,AIXTRON SE,350000,0.9
6274,台燿,375000,0.84
4062 JP,IBIDEN CO LTD,130000,0.78
000660 KS,SK HYNIX INC,10000,0.69
2308,台達電,175000,0.58
6278 JP,UNION TOOL CO,90000,0.58
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,599909,0.53
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,134988,0.51
3017,奇鋐,115000,0.44
