code,name,shares,weight
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,6.39
MU US,MICRON TECHNOLOGY INC,108569,6.1
AMAT US,APPLIED MATERIALS INC,135000,4.35
2383,台光電,445000,3.8
3037,欣興,2600000,3.68
LITE US,LUMENTUM HOLDINGS INC,77000,3.43
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.4
2330,台積電,750000,3.27
2454,聯發科,445000,2.85
BE US,BLOOM ENERGY CORP- A,210000,2.79
285A JP,KIOXIA HOLDINGS CORP,180000,2.79
WDC US,WESTERN DIGITAL CORP,80000,2.74
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.73
009150 KS,Samsung Electro-Mechanics co(009150 ks),65000,2.6
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,200000,2.58
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.53
SNDK US,SANDISK CORP,28000,2.3
8035 JP,TOKYO ELECTRON LTD,110000,2.25
PANW US,PALO ALTO NETWORKS INC,100000,2.09
3665,貿聯-KY,520000,1.96
NOW US,SERVICENOW INC,270000,1.91
6223,旺矽,190000,1.8
3711,日月光投控,1800000,1.8
6871 JP,MICRONICS JAPAN CO LTD,370000,1.73
6976 JP,TAIYO YUDEN CO LTD,450000,1.54
MRVL US,MARVELL TECHNOLOGY INC,130000,1.53
LMT US,LOCKHEED MARTIN CORP,38000,1.4
2327,國巨*,1550000,1.4
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.31
FTNT US,FORTINET INC,100000,0.99
2308,台達電,320000,0.97
VECO US,VEECO INSTRUMENTS INC,310000,0.96
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,899909,0.9
6920 JP,LASERTEC CORP,65000,0.86
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),40000,0.77
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.6
2303,聯電,2500000,0.54
AIXA GY,AIXTRON SE,200000,0.51
3017,奇鋐,115000,0.48
4062 JP,IBIDEN CO LTD,60000,0.32
AEHR US,AEHR TEST SYSTEMS,10459,0.05
