code,name,shares,weight
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,5.93
MU US,MICRON TECHNOLOGY INC,108569,5.66
AMAT US,APPLIED MATERIALS INC,135000,4.09
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.75
3037,欣興,2400000,3.59
009150 KS,Samsung Electro-Mechanics co(009150 ks),75000,3.56
2383,台光電,410000,3.54
2330,台積電,750000,3.35
LITE US,LUMENTUM HOLDINGS INC,77000,3.19
285A JP,KIOXIA HOLDINGS CORP,180000,3.11
2454,聯發科,445000,2.89
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.61
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,200000,2.45
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.41
6976 JP,TAIYO YUDEN CO LTD,600000,2.39
8035 JP,TOKYO ELECTRON LTD,110000,2.39
WDC US,WESTERN DIGITAL CORP,80000,2.36
3665,貿聯-KY,520000,2.26
BE US,BLOOM ENERGY CORP- A,210000,2.23
2327,國巨*,1800000,1.99
3711,日月光投控,1800000,1.96
SNDK US,SANDISK CORP,28000,1.95
6223,旺矽,190000,1.92
FTNT US,FORTINET INC,200000,1.91
NOW US,SERVICENOW INC,270000,1.9
6920 JP,LASERTEC CORP,130000,1.89
6871 JP,MICRONICS JAPAN CO LTD,370000,1.86
PANW US,PALO ALTO NETWORKS INC,90000,1.83
MRVL US,MARVELL TECHNOLOGY INC,130000,1.44
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.4
2308,台達電,320000,0.99
KLAC US,KLA CORP,80000,0.97
LMT US,LOCKHEED MARTIN CORP,25000,0.92
VECO US,VEECO INSTRUMENTS INC,310000,0.9
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,899909,0.85
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.67
3436 JP,SUMCO CORP,500000,0.61
2303,聯電,2500000,0.56
3017,奇鋐,115000,0.51
AIXA GY,AIXTRON SE,200000,0.5
4062 JP,IBIDEN CO LTD,60000,0.35
AEHR US,AEHR TEST SYSTEMS,10459,0.05
