code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,116000,6.9
285A JP,KIOXIA HOLDINGS CORP,178000,5.88
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,5.75
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),185000,5.01
SNDK US,SANDISK CORP,41000,4.58
6981 JP,MURATA MANUFACTURING CO LTD,960000,3.57
BE US,BLOOM ENERGY CORP- A,209220,3.56
MRVL US,MARVELL TECHNOLOGY INC,230000,3.48
IFX GY,INFINEON TECHNOLOGIES AG,625000,3.02
2383,台光電,330000,2.99
2454,聯發科,410000,2.84
LITE US,LUMENTUM HOLDINGS INC,62000,2.72
WDC US,WESTERN DIGITAL CORP,72000,2.59
3037,欣興,1650000,2.58
6997 JP,NIPPON CHEMI-CON CORP,1275100,2.25
VSH US,VISHAY INTERTECHNOLOGY INC,700429,2.21
4062 JP,IBIDEN CO LTD,275000,2.21
5706 JP,Mitsui Mining ＆ Smelting Co,130000,2.09
6976 JP,TAIYO YUDEN CO LTD,380000,2.03
6787 JP,MEIKO ELECTRONICS CO LTD,175000,1.97
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.86
8035 JP,TOKYO ELECTRON LTD,76000,1.8
BESI NA,BE SEMICONDUCTOR INDUSTRIES,90000,1.62
ARM US,ARM HOLDINGS PLC,80000,1.6
2330,台積電,400000,1.56
6920 JP,LASERTEC CORP,87500,1.53
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,97000,1.44
5274,信驊,46000,1.38
AIXA GY,AIXTRON SE,380000,1.29
6515,穎崴,88000,1.29
2308,台達電,350000,1.17
COHR US,COHERENT INC,55000,1.15
3711,日月光投控,1100000,1.15
6223,旺矽,115000,1.15
3436 JP,SUMCO CORP,875400,1.12
7826 JP,FURUYA METAL CO LTD,374300,1.09
2303,聯電,4000000,0.99
3017,奇鋐,215000,0.81
6274,台燿,244000,0.72
6278 JP,UNION TOOL CO,90000,0.66
SOI FP,S.O.I.T.E.C.,90000,0.66
688146 CH,PERIC SPECIAL GASES CO LTD-A,200000,0.57
CRWD US,CROWDSTRIKE HOLDINGS INC - A,14000,0.46
7769,鴻勁,36000,0.39
NVDA US,NVIDIA CORP(輝達公司),20000,0.21
