code,name,shares,weight
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,5.75
285A JP,KIOXIA HOLDINGS CORP,225000,5.54
MU US,MICRON TECHNOLOGY INC,106000,5.39
SNDK US,SANDISK CORP,48000,4.58
009150 KS,Samsung Electro-Mechanics co(009150 ks),83000,4.27
AMAT US,APPLIED MATERIALS INC,125000,3.78
6981 JP,MURATA MANUFACTURING CO LTD,1250000,3.74
6976 JP,TAIYO YUDEN CO LTD,760000,3.53
2327,國巨*,2400000,3.44
BE US,BLOOM ENERGY CORP- A,250000,3.3
3037,欣興,2200000,3.07
MRVL US,MARVELL TECHNOLOGY INC,230000,2.87
2383,台光電,330000,2.78
2454,聯發科,445000,2.78
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.69
WDC US,WESTERN DIGITAL CORP,90000,2.67
8035 JP,TOKYO ELECTRON LTD,110000,2.47
2330,台積電,620000,2.39
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,160000,2.18
3436 JP,SUMCO CORP,1291200,1.86
LITE US,LUMENTUM HOLDINGS INC,44000,1.77
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.74
4062 JP,IBIDEN CO LTD,275000,1.7
6223,旺矽,145000,1.64
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.58
6871 JP,MICRONICS JAPAN CO LTD,300000,1.55
KLAC US,KLA CORP,130000,1.53
000660 KS,SK HYNIX INC,20000,1.53
3711,日月光投控,1400000,1.51
2303,聯電,6000000,1.49
6920 JP,LASERTEC CORP,87500,1.19
VSH US,VISHAY INTERTECHNOLOGY INC,500000,1.13
AIXA GY,AIXTRON SE,380000,1.01
6274,台燿,375000,0.94
FTNT US,FORTINET INC,100000,0.84
3017,奇鋐,215000,0.81
688146 CH,PERIC SPECIAL GASES CO LTD-A,240000,0.66
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,599909,0.61
NOW US,SERVICENOW INC,100000,0.56
6278 JP,UNION TOOL CO,90000,0.55
2308,台達電,175000,0.52
COHR US,COHERENT INC,27500,0.46
