code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.44
3037,欣興,2600000,5.57
2383,台光電,445000,4.45
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.07
MU US,MICRON TECHNOLOGY INC,70000,3.77
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.57
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.56
285A JP,KIOXIA HOLDINGS CORP,180000,3.41
PANW US,PALO ALTO NETWORKS INC,150000,3.3
BE US,BLOOM ENERGY CORP- A,250000,3.13
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,3.11
STX US,SEAGATE TECHNOLOGY,60000,2.93
2330,台積電,650000,2.85
MRVL US,MARVELL TECHNOLOGY INC,205000,2.85
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.74
CRCL US,CIRCLE INTERNET GROUP INC,480000,2.6
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.46
SPCX US,SPACE EXPLORATION TECHN-CL A,300000,2.43
2308,台達電,720000,2.31
6223,旺矽,242000,2.24
3017,奇鋐,335000,2.03
PLTR US,PALANTIR TECHNOLOGIES INC-A,180000,1.93
6871 JP,MICRONICS JAPAN CO LTD,370000,1.77
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.69
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.63
COHR US,COHERENT INC,95000,1.61
SNDK US,SANDISK CORP,17000,1.45
2454,聯發科,200000,1.4
4979,華星光,1235000,1.38
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.36
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.24
TER US,TERADYNE INC,55000,1.18
000660 KS,SK HYNIX INC,15000,1.09
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.04
FORM US,FORMFACTOR INC,150454,0.95
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,0.84
NET US,CLOUDFLARE INC - CLASS A,45000,0.8
TWLO US,TWILIO INC - A,55000,0.76
HOOD US,ROBINHOOD MARKETS INC - A,120000,0.76
AEM US,AGNICO EAGLE MINES LTD,60000,0.74
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.74
DASH US,DOORDASH INC - A,50000,0.67
AIXA GY,AIXTRON SE,200000,0.5
NTRA US,NATERA INC,25000,0.49
4180 JP,APPIER GROUP INC,950000,0.45
095340 KS,ISC CO LTD,50000,0.36
6274,台燿,130000,0.34
