code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.01
3037,欣興,2600000,4.45
2383,台光電,445000,4.36
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,3.67
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.52
MU US,MICRON TECHNOLOGY INC,70000,3.52
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.46
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,3.33
PANW US,PALO ALTO NETWORKS INC,150000,3.2
TSEM US,TOWER SEMICONDUCTOR LTD,216825,3.11
285A JP,KIOXIA HOLDINGS CORP,180000,3.11
2330,台積電,750000,3.1
2454,聯發科,445000,3.06
BE US,BLOOM ENERGY CORP- A,210000,2.75
6223,旺矽,242000,2.73
WDC US,WESTERN DIGITAL CORP,105000,2.63
MRVL US,MARVELL TECHNOLOGY INC,205000,2.45
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.38
AMAT US,APPLIED MATERIALS INC,68000,2.05
3711,日月光投控,1800000,1.91
NOW US,SERVICENOW INC,270000,1.86
COHR US,COHERENT INC,95000,1.86
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.83
6871 JP,MICRONICS JAPAN CO LTD,370000,1.79
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.71
2327,國巨*,1550000,1.6
6976 JP,TAIYO YUDEN CO LTD,450000,1.6
SNDK US,SANDISK CORP,21000,1.56
2308,台達電,468000,1.43
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.41
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.3
LMT US,LOCKHEED MARTIN CORP,38000,1.27
PLTR US,PALANTIR TECHNOLOGIES INC-A,130000,1.23
TER US,TERADYNE INC,55000,1.22
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.07
3017,奇鋐,215000,1.07
FORM US,FORMFACTOR INC,150454,1.07
AEHR US,AEHR TEST SYSTEMS,140344,1.0
6787 JP,MEIKO ELECTRONICS CO LTD,160000,0.99
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,0.86
9988 HK,ALIBABA GROUP HOLDING LTD,1000000,0.86
NET US,CLOUDFLARE INC - CLASS A,45000,0.77
TWLO US,TWILIO INC - A,55000,0.75
AIXA GY,AIXTRON SE,200000,0.55
