code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,5.64
3037,欣興,2600000,5.35
2383,台光電,445000,4.76
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.16
MU US,MICRON TECHNOLOGY INC,70000,3.82
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.62
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.53
285A JP,KIOXIA HOLDINGS CORP,180000,3.29
PANW US,PALO ALTO NETWORKS INC,150000,3.14
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,3.08
STX US,SEAGATE TECHNOLOGY,60000,2.91
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.86
MRVL US,MARVELL TECHNOLOGY INC,205000,2.83
2330,台積電,650000,2.78
BE US,BLOOM ENERGY CORP- A,210000,2.53
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.46
6223,旺矽,242000,2.31
2308,台達電,720000,2.31
SPCX US,SPACE EXPLORATION TECHN-CL A,270000,2.2
WDC US,WESTERN DIGITAL CORP,80000,2.15
2454,聯發科,300000,2.1
SNDK US,SANDISK CORP,21000,1.92
6871 JP,MICRONICS JAPAN CO LTD,370000,1.88
PLTR US,PALANTIR TECHNOLOGIES INC-A,180000,1.84
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.66
2327,國巨*,1550000,1.62
COHR US,COHERENT INC,95000,1.59
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.58
3017,奇鋐,275000,1.55
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.36
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.28
TER US,TERADYNE INC,55000,1.22
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.08
3711,日月光投控,1000000,1.07
000660 KS,SK HYNIX INC,15000,1.01
6787 JP,MEIKO ELECTRONICS CO LTD,160000,1.01
FORM US,FORMFACTOR INC,150454,1.01
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,0.9
NET US,CLOUDFLARE INC - CLASS A,45000,0.76
TWLO US,TWILIO INC - A,55000,0.71
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.69
AIXA GY,AIXTRON SE,200000,0.5
4180 JP,APPIER GROUP INC,950000,0.44
AEHR US,AEHR TEST SYSTEMS,70000,0.44
4979,華星光,450000,0.43
