code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.65
3037,欣興,2600000,4.92
BE US,BLOOM ENERGY CORP- A,280000,4.74
SPCX US,SPACE EXPLORATION TECHN-CL A,500000,4.64
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.46
2383,台光電,400000,4.16
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.95
MU US,MICRON TECHNOLOGY INC,60000,3.59
STX US,SEAGATE TECHNOLOGY,60000,3.06
PANW US,PALO ALTO NETWORKS INC,150000,3.04
3017,奇鋐,440000,2.87
MSFT US,MICROSOFT CORP(微軟公司),92000,2.8
2454,聯發科,300000,2.66
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.62
285A JP,KIOXIA HOLDINGS CORP,110000,2.37
NVDA US,NVIDIA CORP(輝達公司),175000,2.34
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,2.31
000660 KS,SK HYNIX INC,25000,2.09
HOOD US,ROBINHOOD MARKETS INC - A,300120,2.07
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,220000,2.01
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,334997,1.93
2303,聯電,7000000,1.9
INTC US,INTEL CORP,300000,1.89
2330,台積電,400000,1.87
NOW US,SERVICENOW INC,230000,1.87
CRCL US,CIRCLE INTERNET GROUP INC,320000,1.78
TER US,TERADYNE INC,70000,1.63
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,1.58
4979,華星光,1510000,1.55
992 HK,LENOVO GROUP LTD,6000000,1.47
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.36
6515,穎崴,100000,1.33
NET US,CLOUDFLARE INC - CLASS A,70000,1.32
TSEM US,TOWER SEMICONDUCTOR LTD,100000,1.3
IFX GY,INFINEON TECHNOLOGIES AG,300000,1.25
SNDK US,SANDISK CORP,10000,1.0
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.79
TWLO US,TWILIO INC - A,55000,0.77
AEM US,AGNICO EAGLE MINES LTD,60000,0.74
4180 JP,APPIER GROUP INC,950000,0.54
NTRA US,NATERA INC,25000,0.5
AIXA GY,AIXTRON SE,140000,0.37
