code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.43
3037,欣興,2600000,5.55
2383,台光電,445000,4.82
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,3.91
MU US,MICRON TECHNOLOGY INC,70000,3.85
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.66
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.57
285A JP,KIOXIA HOLDINGS CORP,180000,3.31
BE US,BLOOM ENERGY CORP- A,250000,3.19
PANW US,PALO ALTO NETWORKS INC,150000,2.98
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,2.98
STX US,SEAGATE TECHNOLOGY,60000,2.97
MRVL US,MARVELL TECHNOLOGY INC,205000,2.94
2330,台積電,650000,2.89
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.81
CRCL US,CIRCLE INTERNET GROUP INC,480000,2.53
SPCX US,SPACE EXPLORATION TECHN-CL A,300000,2.45
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.4
2308,台達電,720000,2.32
6223,旺矽,242000,2.24
PLTR US,PALANTIR TECHNOLOGIES INC-A,180000,1.87
6871 JP,MICRONICS JAPAN CO LTD,370000,1.84
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.66
COHR US,COHERENT INC,95000,1.64
3017,奇鋐,275000,1.6
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.6
2327,國巨*,1550000,1.53
SNDK US,SANDISK CORP,17000,1.49
2454,聯發科,200000,1.45
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.37
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.26
TER US,TERADYNE INC,55000,1.17
000660 KS,SK HYNIX INC,15000,1.07
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.0
FORM US,FORMFACTOR INC,150454,0.95
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,0.83
4979,華星光,735000,0.81
HOOD US,ROBINHOOD MARKETS INC - A,120000,0.76
AEM US,AGNICO EAGLE MINES LTD,60000,0.75
NET US,CLOUDFLARE INC - CLASS A,45000,0.75
TWLO US,TWILIO INC - A,55000,0.74
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.72
DASH US,DOORDASH INC - A,50000,0.69
AIXA GY,AIXTRON SE,200000,0.5
NTRA US,NATERA INC,25000,0.5
4180 JP,APPIER GROUP INC,950000,0.45
6274,台燿,130000,0.37
095340 KS,ISC CO LTD,50000,0.34
