code,name,shares,weight
009150 KS,Samsung Electro-Mechanics co(009150 ks),77000,5.37
MU US,MICRON TECHNOLOGY INC,97000,5.07
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),155000,4.37
285A JP,KIOXIA HOLDINGS CORP,145000,4.29
SNDK US,SANDISK CORP,38000,3.59
LITE US,LUMENTUM HOLDINGS INC,62000,3.24
MRVL US,MARVELL TECHNOLOGY INC,200000,3.19
6981 JP,MURATA MANUFACTURING CO LTD,870000,3.19
IFX GY,INFINEON TECHNOLOGIES AG,532550,2.89
2454,聯發科,350000,2.89
BE US,BLOOM ENERGY CORP- A,170000,2.71
2383,台光電,288000,2.7
3037,欣興,1500000,2.69
VSH US,VISHAY INTERTECHNOLOGY INC,725429,2.51
6787 JP,MEIKO ELECTRONICS CO LTD,175000,2.36
6997 JP,NIPPON CHEMI-CON CORP,1200000,2.26
5706 JP,Mitsui Mining ＆ Smelting Co,130000,2.19
4062 JP,IBIDEN CO LTD,275000,1.95
5801 JP,FURUKAWA ELECTRIC CO LTD,100000,1.86
NOK US,NOKIA CORP-SPON ADR,2100000,1.83
2330,台積電,400000,1.82
WDC US,WESTERN DIGITAL CORP,57000,1.76
5274,信驊,46000,1.55
CIEN US,CIENA CORP,52000,1.54
6963 JP,ROHM CO LTD,710000,1.42
2308,台達電,307000,1.36
ARM US,ARM HOLDINGS PLC,65518,1.36
3436 JP,SUMCO CORP,875400,1.34
AIXA GY,AIXTRON SE,340000,1.31
6515,穎崴,80000,1.29
STM US,STMICROELECTRONICS NV-NY SHS,300000,1.28
7826 JP,FURUYA METAL CO LTD,374300,1.25
3711,日月光投控,1100000,1.22
CRWD US,CROWDSTRIKE HOLDINGS INC - A,28000,1.14
3017,奇鋐,215000,1.07
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,340000,1.05
603256 CH,GRACE FABRIC TECHNOLOGY CO-A,580000,1.02
6223,旺矽,90000,1.0
2360,致茂,200000,0.98
NVDA US,NVIDIA CORP(輝達公司),75000,0.93
SOI FP,S.O.I.T.E.C.,90000,0.93
6920 JP,LASERTEC CORP,50000,0.8
COHR US,COHERENT INC,34000,0.78
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,60000,0.75
6274,台燿,230000,0.71
HOT GY,HOCHTIEF AG,20000,0.7
ORCL US,ORACLE CORP,50000,0.65
DDOG US,DATADOG INC - CLASS A,45000,0.64
GLW US,CORNING INC,56000,0.6
7769,鴻勁,36000,0.5
AXTI US,AXT INC,90000,0.48
