code,name,shares,weight
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,6.0
MU US,MICRON TECHNOLOGY INC,108569,5.83
009150 KS,Samsung Electro-Mechanics co(009150 ks),83000,4.51
AMAT US,APPLIED MATERIALS INC,135000,4.12
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.83
285A JP,KIOXIA HOLDINGS CORP,180000,3.7
BE US,BLOOM ENERGY CORP- A,310000,3.66
3037,欣興,2400000,3.61
2383,台光電,410000,3.51
LITE US,LUMENTUM HOLDINGS INC,77000,3.48
SNDK US,SANDISK CORP,35000,3.06
2330,台積電,750000,3.03
2454,聯發科,445000,2.89
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.64
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,200000,2.57
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.54
6976 JP,TAIYO YUDEN CO LTD,600000,2.43
WDC US,WESTERN DIGITAL CORP,80000,2.42
8035 JP,TOKYO ELECTRON LTD,110000,2.41
2327,國巨*,1800000,2.1
6871 JP,MICRONICS JAPAN CO LTD,370000,2.01
6223,旺矽,190000,1.99
3711,日月光投控,1800000,1.96
6920 JP,LASERTEC CORP,130000,1.95
KLAC US,KLA CORP,160000,1.9
FTNT US,FORTINET INC,200000,1.64
PANW US,PALO ALTO NETWORKS INC,90000,1.59
MRVL US,MARVELL TECHNOLOGY INC,130000,1.48
VECO US,VEECO INSTRUMENTS INC,500000,1.48
3665,貿聯-KY,368000,1.41
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.4
NOW US,SERVICENOW INC,270000,1.35
3436 JP,SUMCO CORP,1000000,1.25
2303,聯電,4500000,1.05
2308,台達電,320000,1.01
STM US,STMICROELECTRONICS NV-NY SHS,300000,0.87
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,899909,0.76
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.61
AIXA GY,AIXTRON SE,200000,0.5
3017,奇鋐,115000,0.47
4062 JP,IBIDEN CO LTD,60000,0.36
AEHR US,AEHR TEST SYSTEMS,10459,0.05
