code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,116000,6.43
285A JP,KIOXIA HOLDINGS CORP,185000,5.59
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,5.39
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,5.36
SNDK US,SANDISK CORP,41000,4.15
BE US,BLOOM ENERGY CORP- A,230000,3.96
6981 JP,MURATA MANUFACTURING CO LTD,1066000,3.84
MRVL US,MARVELL TECHNOLOGY INC,230000,3.36
2454,聯發科,445000,3.17
2383,台光電,330000,3.05
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.98
LITE US,LUMENTUM HOLDINGS INC,62000,2.76
3037,欣興,1650000,2.55
WDC US,WESTERN DIGITAL CORP,72000,2.45
6976 JP,TAIYO YUDEN CO LTD,415000,2.3
4062 JP,IBIDEN CO LTD,275000,2.23
6997 JP,NIPPON CHEMI-CON CORP,1275100,2.23
VSH US,VISHAY INTERTECHNOLOGY INC,700429,2.06
5706 JP,Mitsui Mining ＆ Smelting Co,130000,1.96
6787 JP,MEIKO ELECTRONICS CO LTD,175000,1.85
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.8
2303,聯電,6000000,1.77
8035 JP,TOKYO ELECTRON LTD,76000,1.74
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,1.71
2330,台積電,400000,1.59
BESI NA,BE SEMICONDUCTOR INDUSTRIES,90000,1.58
ARM US,ARM HOLDINGS PLC,80000,1.52
6920 JP,LASERTEC CORP,87500,1.45
5274,信驊,46000,1.4
6515,穎崴,88000,1.39
6223,旺矽,115000,1.37
AIXA GY,AIXTRON SE,380000,1.22
3711,日月光投控,1100000,1.19
2308,台達電,350000,1.16
COHR US,COHERENT INC,55000,1.14
7826 JP,FURUYA METAL CO LTD,374300,1.11
3436 JP,SUMCO CORP,875400,1.06
3017,奇鋐,215000,0.9
6274,台燿,244000,0.72
6278 JP,UNION TOOL CO,90000,0.68
2327,國巨*,350000,0.61
688146 CH,PERIC SPECIAL GASES CO LTD-A,200000,0.61
SOI FP,S.O.I.T.E.C.,90000,0.58
CRWD US,CROWDSTRIKE HOLDINGS INC - A,14000,0.5
