code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,123569,5.95
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,5.76
AMAT US,APPLIED MATERIALS INC,135000,4.06
3037,欣興,2600000,4.02
2383,台光電,445000,3.96
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.58
LITE US,LUMENTUM HOLDINGS INC,77000,3.48
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,3.27
285A JP,KIOXIA HOLDINGS CORP,180000,3.27
WDC US,WESTERN DIGITAL CORP,105000,3.21
2330,台積電,750000,3.18
2454,聯發科,445000,3.11
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,2.85
BE US,BLOOM ENERGY CORP- A,210000,2.66
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.57
TSEM US,TOWER SEMICONDUCTOR LTD,186825,2.54
MRVL US,MARVELL TECHNOLOGY INC,205000,2.3
8035 JP,TOKYO ELECTRON LTD,110000,2.24
SNDK US,SANDISK CORP,28000,2.09
PANW US,PALO ALTO NETWORKS INC,100000,2.01
6223,旺矽,190000,1.97
3711,日月光投控,1800000,1.96
3665,貿聯-KY,520000,1.95
6871 JP,MICRONICS JAPAN CO LTD,370000,1.9
NOW US,SERVICENOW INC,270000,1.79
6976 JP,TAIYO YUDEN CO LTD,450000,1.65
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),90000,1.61
2327,國巨*,1550000,1.53
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.51
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.4
LMT US,LOCKHEED MARTIN CORP,38000,1.29
6920 JP,LASERTEC CORP,65000,0.98
FTNT US,FORTINET INC,100000,0.95
VECO US,VEECO INSTRUMENTS INC,310000,0.92
2308,台達電,320000,0.9
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,899909,0.88
AEHR US,AEHR TEST SYSTEMS,140344,0.75
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,0.55
2303,聯電,2500000,0.53
3017,奇鋐,115000,0.52
AIXA GY,AIXTRON SE,200000,0.5
4062 JP,IBIDEN CO LTD,60000,0.34
