code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.93
3037,欣興,2600000,4.91
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.37
2383,台光電,400000,4.09
BE US,BLOOM ENERGY CORP- A,250000,4.03
SPCX US,SPACE EXPLORATION TECHN-CL A,450000,3.98
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.76
MU US,MICRON TECHNOLOGY INC,60000,3.7
STX US,SEAGATE TECHNOLOGY,60000,3.19
PANW US,PALO ALTO NETWORKS INC,150000,3.01
3017,奇鋐,440000,2.83
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.81
MSFT US,MICROSOFT CORP(微軟公司),92000,2.71
CRCL US,CIRCLE INTERNET GROUP INC,480000,2.68
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.58
285A JP,KIOXIA HOLDINGS CORP,110000,2.45
NVDA US,NVIDIA CORP(輝達公司),175000,2.35
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,2.29
2454,聯發科,250000,2.2
HOOD US,ROBINHOOD MARKETS INC - A,300120,2.07
000660 KS,SK HYNIX INC,25000,2.05
2308,台達電,570000,1.95
2330,台積電,400000,1.88
NOW US,SERVICENOW INC,230000,1.81
4979,華星光,1510000,1.75
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,1.56
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,1.52
992 HK,LENOVO GROUP LTD,6000000,1.49
INTC US,INTEL CORP,230000,1.46
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,249997,1.44
6515,穎崴,100000,1.38
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.36
2303,聯電,5000000,1.35
NET US,CLOUDFLARE INC - CLASS A,70000,1.32
TER US,TERADYNE INC,55000,1.26
IFX GY,INFINEON TECHNOLOGIES AG,300000,1.19
SNDK US,SANDISK CORP,10000,1.06
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.81
TWLO US,TWILIO INC - A,55000,0.75
AEM US,AGNICO EAGLE MINES LTD,60000,0.73
AIXA GY,AIXTRON SE,200000,0.53
4180 JP,APPIER GROUP INC,950000,0.52
NTRA US,NATERA INC,25000,0.49
