code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.37
3037,欣興,2600000,4.87
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.38
2383,台光電,420000,4.32
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.64
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.62
MU US,MICRON TECHNOLOGY INC,60000,3.42
PANW US,PALO ALTO NETWORKS INC,150000,3.41
BE US,BLOOM ENERGY CORP- A,250000,3.07
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,3.03
STX US,SEAGATE TECHNOLOGY,60000,2.96
2330,台積電,650000,2.93
CRCL US,CIRCLE INTERNET GROUP INC,480000,2.73
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.65
SPCX US,SPACE EXPLORATION TECHN-CL A,300000,2.57
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.56
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,2.5
2308,台達電,720000,2.49
3017,奇鋐,365000,2.35
6223,旺矽,242000,2.33
285A JP,KIOXIA HOLDINGS CORP,110000,2.05
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.78
6871 JP,MICRONICS JAPAN CO LTD,370000,1.77
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.65
COHR US,COHERENT INC,95000,1.57
MSFT US,MICROSOFT CORP(微軟公司),50000,1.51
2454,聯發科,200000,1.47
4979,華星光,1235000,1.41
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.39
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,1.36
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,1.33
NOW US,SERVICENOW INC,150000,1.32
NET US,CLOUDFLARE INC - CLASS A,70000,1.27
SNDK US,SANDISK CORP,13000,1.21
TER US,TERADYNE INC,55000,1.15
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.09
000660 KS,SK HYNIX INC,15000,1.08
FORM US,FORMFACTOR INC,150454,0.9
TWLO US,TWILIO INC - A,55000,0.77
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.75
HOOD US,ROBINHOOD MARKETS INC - A,120000,0.75
AEM US,AGNICO EAGLE MINES LTD,60000,0.73
DASH US,DOORDASH INC - A,50000,0.69
4180 JP,APPIER GROUP INC,950000,0.51
AIXA GY,AIXTRON SE,200000,0.49
NTRA US,NATERA INC,25000,0.48
095340 KS,ISC CO LTD,50000,0.37
6274,台燿,130000,0.35
