code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,116000,5.89
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,5.55
285A JP,KIOXIA HOLDINGS CORP,204800,5.31
009150 KS,Samsung Electro-Mechanics co(009150 ks),80185,4.88
6976 JP,TAIYO YUDEN CO LTD,760000,4.44
SNDK US,SANDISK CORP,45000,4.05
2327,國巨*,2200000,3.56
AMAT US,APPLIED MATERIALS INC,115000,3.51
BE US,BLOOM ENERGY CORP- A,230000,3.5
6981 JP,MURATA MANUFACTURING CO LTD,1066000,3.47
3037,欣興,2200000,3.24
MRVL US,MARVELL TECHNOLOGY INC,230000,2.96
2454,聯發科,445000,2.95
2383,台光電,330000,2.91
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.84
WDC US,WESTERN DIGITAL CORP,90000,2.68
LITE US,LUMENTUM HOLDINGS INC,62000,2.34
005930 KS,samsung electronics co ltd(005930 KS),200000,2.15
3436 JP,SUMCO CORP,1291200,2.12
6997 JP,NIPPON CHEMI-CON CORP,1275100,2.03
8035 JP,TOKYO ELECTRON LTD,88000,2.02
4062 JP,IBIDEN CO LTD,275000,1.87
2330,台積電,450000,1.78
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.75
VSH US,VISHAY INTERTECHNOLOGY INC,700429,1.67
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,1.64
2303,聯電,6000000,1.6
KLAC US,KLA CORP,130000,1.56
6920 JP,LASERTEC CORP,87500,1.31
6223,旺矽,115000,1.27
3711,日月光投控,1100000,1.2
AIXA GY,AIXTRON SE,380000,1.12
6274,台燿,375000,0.98
000660 KS,SK HYNIX INC,12000,0.95
COHR US,COHERENT INC,55000,0.95
3017,奇鋐,215000,0.92
6871 JP,MICRONICS JAPAN CO LTD,140000,0.67
6278 JP,UNION TOOL CO,90000,0.6
2308,台達電,175000,0.56
688146 CH,PERIC SPECIAL GASES CO LTD-A,240000,0.55
6787 JP,MEIKO ELECTRONICS CO LTD,50000,0.44
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,399909,0.43
