code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.35
3037,欣興,2600000,4.97
2383,台光電,420000,4.49
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.42
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,3.71
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.65
MU US,MICRON TECHNOLOGY INC,60000,3.58
BE US,BLOOM ENERGY CORP- A,250000,3.39
PANW US,PALO ALTO NETWORKS INC,150000,3.07
STX US,SEAGATE TECHNOLOGY,60000,3.03
TSEM US,TOWER SEMICONDUCTOR LTD,216825,2.8
CRCL US,CIRCLE INTERNET GROUP INC,480000,2.65
SPCX US,SPACE EXPLORATION TECHN-CL A,300000,2.63
2330,台積電,550000,2.57
MSFT US,MICROSOFT CORP(微軟公司),82000,2.54
6223,旺矽,242000,2.51
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.48
2308,台達電,720000,2.44
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,2.38
3017,奇鋐,365000,2.37
285A JP,KIOXIA HOLDINGS CORP,110000,2.19
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,205647,2.12
NOW US,SERVICENOW INC,230000,1.96
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1.75
IFX GY,INFINEON TECHNOLOGIES AG,425000,1.71
2454,聯發科,200000,1.68
COHR US,COHERENT INC,95000,1.59
4979,華星光,1235000,1.51
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.37
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,1.35
HOOD US,ROBINHOOD MARKETS INC - A,200000,1.33
SNDK US,SANDISK CORP,13000,1.26
NET US,CLOUDFLARE INC - CLASS A,70000,1.19
TER US,TERADYNE INC,55000,1.17
000660 KS,SK HYNIX INC,15000,1.09
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,1.05
TWLO US,TWILIO INC - A,55000,0.78
AEM US,AGNICO EAGLE MINES LTD,60000,0.74
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.73
DASH US,DOORDASH INC - A,50000,0.71
AIXA GY,AIXTRON SE,200000,0.52
NTRA US,NATERA INC,25000,0.51
4180 JP,APPIER GROUP INC,950000,0.49
6274,台燿,130000,0.36
