code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,116000,7.03
285A JP,KIOXIA HOLDINGS CORP,185000,5.92
SNDK US,SANDISK CORP,45000,5.24
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,5.18
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,5.18
6981 JP,MURATA MANUFACTURING CO LTD,1066000,3.89
BE US,BLOOM ENERGY CORP- A,230000,3.55
MRVL US,MARVELL TECHNOLOGY INC,230000,3.23
WDC US,WESTERN DIGITAL CORP,90000,3.03
2454,聯發科,445000,3.0
2383,台光電,330000,2.92
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.9
LITE US,LUMENTUM HOLDINGS INC,62000,2.67
3037,欣興,1650000,2.64
6976 JP,TAIYO YUDEN CO LTD,415000,2.41
6997 JP,NIPPON CHEMI-CON CORP,1275100,2.35
4062 JP,IBIDEN CO LTD,275000,2.24
VSH US,VISHAY INTERTECHNOLOGY INC,700429,2.09
8035 JP,TOKYO ELECTRON LTD,88000,2.04
5706 JP,Mitsui Mining ＆ Smelting Co,130000,1.86
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.78
2303,聯電,6000000,1.68
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,1.61
6787 JP,MEIKO ELECTRONICS CO LTD,150000,1.5
2330,台積電,400000,1.5
BESI NA,BE SEMICONDUCTOR INDUSTRIES,90000,1.47
6920 JP,LASERTEC CORP,87500,1.43
ARM US,ARM HOLDINGS PLC,80000,1.39
5274,信驊,46000,1.26
6515,穎崴,88000,1.25
6223,旺矽,115000,1.24
2327,國巨*,700000,1.23
AIXA GY,AIXTRON SE,380000,1.14
COHR US,COHERENT INC,55000,1.12
3711,日月光投控,1100000,1.1
2308,台達電,350000,1.09
7826 JP,FURUYA METAL CO LTD,374300,1.04
3436 JP,SUMCO CORP,875400,1.02
3017,奇鋐,215000,0.84
6871 JP,MICRONICS JAPAN CO LTD,140000,0.76
6278 JP,UNION TOOL CO,90000,0.65
6274,台燿,244000,0.65
688146 CH,PERIC SPECIAL GASES CO LTD-A,200000,0.57
SOI FP,S.O.I.T.E.C.,57000,0.36
