code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,116000,6.97
285A JP,KIOXIA HOLDINGS CORP,195000,5.9
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,5.51
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,5.39
SNDK US,SANDISK CORP,45000,4.99
6981 JP,MURATA MANUFACTURING CO LTD,1066000,3.77
MRVL US,MARVELL TECHNOLOGY INC,230000,3.25
3037,欣興,1900000,3.08
BE US,BLOOM ENERGY CORP- A,230000,3.07
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.95
2383,台光電,330000,2.88
2454,聯發科,445000,2.87
WDC US,WESTERN DIGITAL CORP,90000,2.8
LITE US,LUMENTUM HOLDINGS INC,62000,2.69
6997 JP,NIPPON CHEMI-CON CORP,1275100,2.34
6976 JP,TAIYO YUDEN CO LTD,415000,2.28
4062 JP,IBIDEN CO LTD,275000,2.16
8035 JP,TOKYO ELECTRON LTD,88000,2.1
VSH US,VISHAY INTERTECHNOLOGY INC,700429,2.09
5706 JP,Mitsui Mining ＆ Smelting Co,130000,1.81
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.8
2327,國巨*,1000000,1.69
2303,聯電,6000000,1.64
2330,台積電,400000,1.56
BESI NA,BE SEMICONDUCTOR INDUSTRIES,90000,1.53
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,1.51
6920 JP,LASERTEC CORP,87500,1.43
ARM US,ARM HOLDINGS PLC,80000,1.42
6223,旺矽,115000,1.24
AIXA GY,AIXTRON SE,380000,1.19
3711,日月光投控,1100000,1.16
COHR US,COHERENT INC,55000,1.11
3436 JP,SUMCO CORP,875400,1.1
7826 JP,FURUYA METAL CO LTD,374300,1.05
6787 JP,MEIKO ELECTRONICS CO LTD,100000,0.99
6515,穎崴,62000,0.84
AMAT US,APPLIED MATERIALS INC,25000,0.83
3017,奇鋐,215000,0.81
6871 JP,MICRONICS JAPAN CO LTD,140000,0.79
5274,信驊,29000,0.75
6278 JP,UNION TOOL CO,90000,0.66
6274,台燿,244000,0.64
688146 CH,PERIC SPECIAL GASES CO LTD-A,200000,0.6
2308,台達電,175000,0.53
SOI FP,S.O.I.T.E.C.,27000,0.19
