code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,116000,6.87
285A JP,KIOXIA HOLDINGS CORP,204800,5.79
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,5.52
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,5.44
SNDK US,SANDISK CORP,45000,4.77
6981 JP,MURATA MANUFACTURING CO LTD,1066000,3.66
MRVL US,MARVELL TECHNOLOGY INC,230000,3.3
BE US,BLOOM ENERGY CORP- A,230000,3.27
6976 JP,TAIYO YUDEN CO LTD,529500,3.15
WDC US,WESTERN DIGITAL CORP,90000,3.03
3037,欣興,1900000,3.01
2383,台光電,330000,2.92
IFX GY,INFINEON TECHNOLOGIES AG,625000,2.89
2454,聯發科,445000,2.82
LITE US,LUMENTUM HOLDINGS INC,62000,2.73
2327,國巨*,1400000,2.36
AMAT US,APPLIED MATERIALS INC,65000,2.34
6997 JP,NIPPON CHEMI-CON CORP,1275100,2.28
8035 JP,TOKYO ELECTRON LTD,88000,2.1
4062 JP,IBIDEN CO LTD,275000,2.08
VSH US,VISHAY INTERTECHNOLOGY INC,700429,2.04
STM US,STMICROELECTRONICS NV-NY SHS,475000,1.84
5706 JP,Mitsui Mining ＆ Smelting Co,130000,1.74
2330,台積電,450000,1.73
2303,聯電,6000000,1.6
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,1.52
ARM US,ARM HOLDINGS PLC,80000,1.42
6920 JP,LASERTEC CORP,87500,1.38
AIXA GY,AIXTRON SE,380000,1.16
6223,旺矽,115000,1.13
3711,日月光投控,1100000,1.12
COHR US,COHERENT INC,55000,1.11
3436 JP,SUMCO CORP,875400,1.07
6787 JP,MEIKO ELECTRONICS CO LTD,100000,1.01
BESI NA,BE SEMICONDUCTOR INDUSTRIES,60000,0.99
7826 JP,FURUYA METAL CO LTD,374300,0.99
3017,奇鋐,215000,0.8
6871 JP,MICRONICS JAPAN CO LTD,140000,0.75
688146 CH,PERIC SPECIAL GASES CO LTD-A,240000,0.68
6278 JP,UNION TOOL CO,90000,0.63
6274,台燿,244000,0.62
2308,台達電,175000,0.54
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,399909,0.51
6515,穎崴,30000,0.39
