code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
6976 JP,TAIYO YUDEN CO LTD,650000,715000,65000,4.02,5.05,1.0300000000000002,UP
7826 JP,FURUYA METAL CO LTD,273000,148000,-125000,0.68,0.37,-0.31000000000000005,DOWN
ARM US,ARM HOLDINGS PLC,80000,55000,-25000,1.41,0.94,-0.47,DOWN
6787 JP,MEIKO ELECTRONICS CO LTD,100000,50000,-50000,0.95,0.46,-0.48999999999999994,DOWN
BESI NA,BE SEMICONDUCTOR INDUSTRIES,23000,0,-23000,0.37,0.0,-0.37,OUT
6981 JP,MURATA MANUFACTURING CO LTD,1066000,1066000,0,3.72,3.95,0.22999999999999998,WEIGHT_CHANGE
3436 JP,SUMCO CORP,875400,875400,0,1.08,1.29,0.20999999999999996,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,275000,275000,0,2.01,2.21,0.20000000000000018,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,2.15,2.3,0.1499999999999999,WEIGHT_CHANGE
6223,旺矽,115000,115000,0,1.09,1.22,0.1299999999999999,WEIGHT_CHANGE
2383,台光電,330000,330000,0,2.78,2.9,0.1200000000000001,WEIGHT_CHANGE
2454,聯發科,445000,445000,0,2.95,3.07,0.11999999999999966,WEIGHT_CHANGE
2330,台積電,450000,450000,0,1.69,1.79,0.10000000000000009,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,80000,0,5.65,5.73,0.08000000000000007,WEIGHT_CHANGE
8035 JP,TOKYO ELECTRON LTD,88000,88000,0,2.08,2.16,0.08000000000000007,WEIGHT_CHANGE
2303,聯電,6000000,6000000,0,1.54,1.61,0.07000000000000006,WEIGHT_CHANGE
3711,日月光投控,1100000,1100000,0,1.17,1.23,0.06000000000000005,WEIGHT_CHANGE
688146 CH,PERIC SPECIAL GASES CO LTD-A,240000,240000,0,0.62,0.68,0.06000000000000005,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,0.85,0.9,0.050000000000000044,WEIGHT_CHANGE
5706 JP,Mitsui Mining ＆ Smelting Co,130000,130000,0,1.7,1.75,0.050000000000000044,WEIGHT_CHANGE
6871 JP,MICRONICS JAPAN CO LTD,140000,140000,0,0.71,0.76,0.050000000000000044,WEIGHT_CHANGE
2327,國巨*,1600000,1600000,0,2.85,2.9,0.04999999999999982,WEIGHT_CHANGE
6920 JP,LASERTEC CORP,87500,87500,0,1.33,1.38,0.04999999999999982,WEIGHT_CHANGE
6274,台燿,375000,375000,0,0.98,1.01,0.030000000000000027,WEIGHT_CHANGE
2308,台達電,175000,175000,0,0.53,0.55,0.020000000000000018,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,399909,399909,0,0.49,0.51,0.020000000000000018,WEIGHT_CHANGE
6278 JP,UNION TOOL CO,90000,90000,0,0.62,0.64,0.020000000000000018,WEIGHT_CHANGE
3037,欣興,2200000,2200000,0,3.68,3.64,-0.040000000000000036,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,120000,0,1.62,1.58,-0.040000000000000036,WEIGHT_CHANGE
COHR US,COHERENT INC,55000,55000,0,1.08,1.03,-0.050000000000000044,WEIGHT_CHANGE
VSH US,VISHAY INTERTECHNOLOGY INC,700429,700429,0,1.87,1.82,-0.050000000000000044,WEIGHT_CHANGE
STM US,STMICROELECTRONICS NV-NY SHS,475000,475000,0,1.77,1.7,-0.07000000000000006,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,625000,625000,0,2.89,2.81,-0.08000000000000007,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,230000,230000,0,3.46,3.37,-0.08999999999999986,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,62000,62000,0,2.65,2.52,-0.1299999999999999,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,90000,90000,0,2.86,2.73,-0.1299999999999999,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,230000,230000,0,3.41,3.17,-0.2400000000000002,WEIGHT_CHANGE
AMAT US,APPLIED MATERIALS INC,93000,93000,0,3.34,3.07,-0.27,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,195000,0,5.63,5.34,-0.29000000000000004,WEIGHT_CHANGE
SNDK US,SANDISK CORP,45000,45000,0,5.09,4.63,-0.45999999999999996,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,116000,116000,0,6.66,6.07,-0.5899999999999999,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,380000,380000,0,1.13,1.13,0.0,SAME
285A JP,KIOXIA HOLDINGS CORP,204800,204800,0,5.63,5.62,-0.009999999999999787,SAME
