code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
INTC US,INTEL CORP,320399,450399,130000,2.18,3.0,0.8199999999999998,UP
2303,聯電,7000000,8500000,1500000,2.02,2.56,0.54,UP
6997 JP,NIPPON CHEMI-CON CORP,1275100,1060000,-215100,1.4,1.15,-0.25,DOWN
AIXA GY,AIXTRON SE,13635,0,-13635,0.03,0.0,-0.03,OUT
3017,奇鋐,440000,440000,0,2.75,2.91,0.16000000000000014,WEIGHT_CHANGE
4979,華星光,1510000,1510000,0,1.64,1.78,0.14000000000000012,WEIGHT_CHANGE
HOOD US,ROBINHOOD MARKETS INC - A,300120,300120,0,2.06,2.2,0.14000000000000012,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,6.53,6.67,0.13999999999999968,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,4.79,4.92,0.1299999999999999,WEIGHT_CHANGE
992 HK,LENOVO GROUP LTD,6000000,6000000,0,1.64,1.76,0.1200000000000001,WEIGHT_CHANGE
000660 KS,SK HYNIX INC,25000,25000,0,1.97,2.06,0.09000000000000008,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.21,4.3,0.08999999999999986,WEIGHT_CHANGE
2454,聯發科,330000,330000,0,2.91,3.0,0.08999999999999986,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,60000,60000,0,3.66,3.73,0.06999999999999984,WEIGHT_CHANGE
2383,台光電,250000,250000,0,2.3,2.36,0.06000000000000005,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,220000,220000,0,2.01,2.07,0.06000000000000005,WEIGHT_CHANGE
SNDK US,SANDISK CORP,7000,7000,0,0.71,0.77,0.06000000000000005,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,4.03,4.09,0.05999999999999961,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,37000,37000,0,0.74,0.79,0.050000000000000044,WEIGHT_CHANGE
STX US,SEAGATE TECHNOLOGY,20000,20000,0,1.0,1.05,0.050000000000000044,WEIGHT_CHANGE
TER US,TERADYNE INC,70000,70000,0,1.54,1.59,0.050000000000000044,WEIGHT_CHANGE
6515,穎崴,100000,100000,0,1.2,1.24,0.040000000000000036,WEIGHT_CHANGE
3081,聯亞,150000,150000,0,0.8,0.83,0.029999999999999916,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,50000,0,1.7,1.72,0.020000000000000018,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,300000,300000,0,1.17,1.18,0.010000000000000009,WEIGHT_CHANGE
4180 JP,APPIER GROUP INC,950000,950000,0,0.58,0.56,-0.019999999999999907,WEIGHT_CHANGE
NVDA US,NVIDIA CORP(輝達公司),175000,175000,0,2.4,2.38,-0.020000000000000018,WEIGHT_CHANGE
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,225000,0,2.48,2.45,-0.029999999999999805,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,100000,100000,0,1.54,1.49,-0.050000000000000044,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,70000,70000,0,1.46,1.39,-0.07000000000000006,WEIGHT_CHANGE
OKTA US,OKTA INC,120000,120000,0,1.42,1.34,-0.07999999999999985,WEIGHT_CHANGE
MSFT US,MICROSOFT CORP(微軟公司),100000,100000,0,3.11,3.03,-0.08000000000000007,WEIGHT_CHANGE
NOW US,SERVICENOW INC,230000,230000,0,1.99,1.91,-0.08000000000000007,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.75,2.65,-0.10000000000000009,WEIGHT_CHANGE
CRWD US,CROWDSTRIKE HOLDINGS INC - A,130754,130754,0,2.01,1.9,-0.10999999999999988,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.51,3.34,-0.16999999999999993,WEIGHT_CHANGE
SPCX US,SPACE EXPLORATION TECHN-CL A,550000,550000,0,5.32,5.15,-0.16999999999999993,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,350000,350000,0,6.14,5.7,-0.4399999999999995,WEIGHT_CHANGE
2330,台積電,400000,400000,0,1.9,1.9,0.0,SAME
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,334997,334997,0,1.9,1.9,0.0,SAME
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.76,0.76,0.0,SAME
NTRA US,NATERA INC,25000,25000,0,0.57,0.57,0.0,SAME
