code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
BE US,BLOOM ENERGY CORP- A,170000,190220,20220,2.57,3.18,0.6100000000000003,UP
MU US,MICRON TECHNOLOGY INC,110500,116000,5500,6.12,6.69,0.5700000000000003,UP
8035 JP,TOKYO ELECTRON LTD,46000,62000,16000,1.11,1.49,0.3799999999999999,UP
ARM US,ARM HOLDINGS PLC,65518,80000,14482,1.46,1.79,0.33000000000000007,UP
6920 JP,LASERTEC CORP,72500,87500,15000,1.27,1.56,0.29000000000000004,UP
6274,台燿,230000,244000,14000,0.65,0.72,0.06999999999999995,UP
2360,致茂,200000,100000,-100000,0.75,0.37,-0.38,DOWN
NVDA US,NVIDIA CORP(輝達公司),75000,37500,-37500,0.82,0.4,-0.41999999999999993,DOWN
603256 CH,GRACE FABRIC TECHNOLOGY CO-A,580000,290000,-290000,1.18,0.56,-0.6199999999999999,DOWN
NOK US,NOKIA CORP-SPON ADR,2100000,0,-2100000,1.54,0.0,-1.54,OUT
SNDK US,SANDISK CORP,39000,39000,0,4.06,4.33,0.27000000000000046,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,80000,0,5.68,5.87,0.1900000000000004,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,960000,960000,0,3.46,3.57,0.10999999999999988,WEIGHT_CHANGE
2383,台光電,330000,330000,0,2.89,2.98,0.08999999999999986,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,230000,230000,0,3.54,3.63,0.08999999999999986,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,97000,97000,0,1.28,1.34,0.06000000000000005,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,275000,275000,0,2.19,2.24,0.050000000000000266,WEIGHT_CHANGE
VSH US,VISHAY INTERTECHNOLOGY INC,580429,580429,0,1.86,1.91,0.04999999999999982,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,557550,557550,0,2.65,2.68,0.03000000000000025,WEIGHT_CHANGE
STM US,STMICROELECTRONICS NV-NY SHS,375000,375000,0,1.46,1.49,0.030000000000000027,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,2.21,2.23,0.020000000000000018,WEIGHT_CHANGE
3711,日月光投控,1100000,1100000,0,1.1,1.09,-0.010000000000000009,WEIGHT_CHANGE
7826 JP,FURUYA METAL CO LTD,374300,374300,0,1.14,1.12,-0.019999999999999796,WEIGHT_CHANGE
5274,信驊,46000,46000,0,1.43,1.41,-0.020000000000000018,WEIGHT_CHANGE
COHR US,COHERENT INC,55000,55000,0,1.11,1.09,-0.020000000000000018,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,0.86,0.83,-0.030000000000000027,WEIGHT_CHANGE
DDOG US,DATADOG INC - CLASS A,60000,60000,0,0.72,0.68,-0.039999999999999925,WEIGHT_CHANGE
7769,鴻勁,36000,36000,0,0.44,0.4,-0.03999999999999998,WEIGHT_CHANGE
2330,台積電,400000,400000,0,1.6,1.55,-0.050000000000000044,WEIGHT_CHANGE
6223,旺矽,115000,115000,0,1.24,1.19,-0.050000000000000044,WEIGHT_CHANGE
BESI NA,BE SEMICONDUCTOR INDUSTRIES,90000,90000,0,1.72,1.67,-0.050000000000000044,WEIGHT_CHANGE
CRWD US,CROWDSTRIKE HOLDINGS INC - A,28000,28000,0,1.02,0.97,-0.050000000000000044,WEIGHT_CHANGE
6515,穎崴,88000,88000,0,1.4,1.34,-0.05999999999999983,WEIGHT_CHANGE
2308,台達電,350000,350000,0,1.27,1.21,-0.06000000000000005,WEIGHT_CHANGE
6278 JP,UNION TOOL CO,90000,90000,0,0.78,0.72,-0.06000000000000005,WEIGHT_CHANGE
5706 JP,Mitsui Mining ＆ Smelting Co,130000,130000,0,2.05,1.98,-0.06999999999999984,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,380000,380000,0,1.41,1.34,-0.06999999999999984,WEIGHT_CHANGE
6787 JP,MEIKO ELECTRONICS CO LTD,175000,175000,0,2.07,1.99,-0.07999999999999985,WEIGHT_CHANGE
SOI FP,S.O.I.T.E.C.,90000,90000,0,0.69,0.61,-0.07999999999999996,WEIGHT_CHANGE
AXTI US,AXT INC,140000,140000,0,0.68,0.6,-0.08000000000000007,WEIGHT_CHANGE
3037,欣興,1650000,1650000,0,2.74,2.57,-0.17000000000000037,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,62000,62000,0,2.86,2.68,-0.17999999999999972,WEIGHT_CHANGE
2454,聯發科,410000,410000,0,3.08,2.9,-0.18000000000000016,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,168000,168000,0,5.35,5.15,-0.1999999999999993,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,380000,380000,0,2.63,2.39,-0.23999999999999977,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),185000,185000,0,5.04,5.05,0.009999999999999787,SAME
WDC US,WESTERN DIGITAL CORP,72000,72000,0,2.72,2.73,0.009999999999999787,SAME
2303,聯電,4000000,4000000,0,0.94,0.94,0.0,SAME
3436 JP,SUMCO CORP,875400,875400,0,1.2,1.2,0.0,SAME
