code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
MSFT US,MICROSOFT CORP(微軟公司),0,50000,50000,0.0,1.51,1.51,NEW
NOW US,SERVICENOW INC,0,150000,150000,0.0,1.32,1.32,NEW
2383,台光電,445000,420000,-25000,4.57,4.32,-0.25,DOWN
285A JP,KIOXIA HOLDINGS CORP,140000,110000,-30000,2.49,2.05,-0.4400000000000004,DOWN
MRVL US,MARVELL TECHNOLOGY INC,150026,0,-150026,1.92,0.0,-1.92,OUT
CRCL US,CIRCLE INTERNET GROUP INC,480000,480000,0,2.48,2.73,0.25,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,6.2,6.37,0.16999999999999993,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.24,4.38,0.13999999999999968,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.3,3.41,0.11000000000000032,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,60000,60000,0,3.31,3.42,0.10999999999999988,WEIGHT_CHANGE
SNDK US,SANDISK CORP,13000,13000,0,1.14,1.21,0.07000000000000006,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,130000,0,3.58,3.64,0.06000000000000005,WEIGHT_CHANGE
SPCX US,SPACE EXPLORATION TECHN-CL A,300000,300000,0,2.51,2.57,0.06000000000000005,WEIGHT_CHANGE
3017,奇鋐,365000,365000,0,2.3,2.35,0.050000000000000266,WEIGHT_CHANGE
6223,旺矽,242000,242000,0,2.28,2.33,0.050000000000000266,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1749879,0,1.73,1.78,0.050000000000000044,WEIGHT_CHANGE
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,291988,0,1.04,1.09,0.050000000000000044,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.34,1.39,0.04999999999999982,WEIGHT_CHANGE
4180 JP,APPIER GROUP INC,950000,950000,0,0.47,0.51,0.040000000000000036,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.52,2.56,0.040000000000000036,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.72,0.75,0.030000000000000027,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,70000,70000,0,1.24,1.27,0.030000000000000027,WEIGHT_CHANGE
2308,台達電,720000,720000,0,2.47,2.49,0.020000000000000018,WEIGHT_CHANGE
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,18000,0,1.34,1.36,0.020000000000000018,WEIGHT_CHANGE
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,225000,0,2.48,2.5,0.020000000000000018,WEIGHT_CHANGE
000660 KS,SK HYNIX INC,15000,15000,0,1.07,1.08,0.010000000000000009,WEIGHT_CHANGE
HOOD US,ROBINHOOD MARKETS INC - A,120000,120000,0,0.74,0.75,0.010000000000000009,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,170000,0,1.34,1.33,-0.010000000000000009,WEIGHT_CHANGE
6274,台燿,130000,130000,0,0.36,0.35,-0.010000000000000009,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,200000,200000,0,0.5,0.49,-0.010000000000000009,WEIGHT_CHANGE
DASH US,DOORDASH INC - A,50000,50000,0,0.7,0.69,-0.010000000000000009,WEIGHT_CHANGE
FORM US,FORMFACTOR INC,150454,150454,0,0.91,0.9,-0.010000000000000009,WEIGHT_CHANGE
TER US,TERADYNE INC,55000,55000,0,1.16,1.15,-0.010000000000000009,WEIGHT_CHANGE
2330,台積電,650000,650000,0,2.95,2.93,-0.020000000000000018,WEIGHT_CHANGE
2454,聯發科,200000,200000,0,1.49,1.47,-0.020000000000000018,WEIGHT_CHANGE
6871 JP,MICRONICS JAPAN CO LTD,370000,370000,0,1.79,1.77,-0.020000000000000018,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,425000,425000,0,1.67,1.65,-0.020000000000000018,WEIGHT_CHANGE
TSEM US,TOWER SEMICONDUCTOR LTD,216825,216825,0,2.67,2.65,-0.020000000000000018,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,250000,250000,0,3.12,3.07,-0.050000000000000266,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,225000,0,3.1,3.03,-0.07000000000000028,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.71,3.62,-0.08999999999999986,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,5.4,4.87,-0.5300000000000002,WEIGHT_CHANGE
STX US,SEAGATE TECHNOLOGY,60000,60000,0,2.95,2.96,0.009999999999999787,SAME
095340 KS,ISC CO LTD,50000,50000,0,0.37,0.37,0.0,SAME
4979,華星光,1235000,1235000,0,1.41,1.41,0.0,SAME
AEM US,AGNICO EAGLE MINES LTD,60000,60000,0,0.73,0.73,0.0,SAME
COHR US,COHERENT INC,95000,95000,0,1.57,1.57,0.0,SAME
NTRA US,NATERA INC,25000,25000,0,0.48,0.48,0.0,SAME
TWLO US,TWILIO INC - A,55000,55000,0,0.77,0.77,0.0,SAME
