code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
HOOD US,ROBINHOOD MARKETS INC - A,0,120000,120000,0.0,0.76,0.76,NEW
DASH US,DOORDASH INC - A,0,50000,50000,0.0,0.69,0.69,NEW
NTRA US,NATERA INC,0,25000,25000,0.0,0.5,0.5,NEW
6274,台燿,0,130000,130000,0.0,0.37,0.37,NEW
SNDK US,SANDISK CORP,21000,17000,-4000,1.82,1.49,-0.33000000000000007,DOWN
AEHR US,AEHR TEST SYSTEMS,70000,0,-70000,0.39,0.0,-0.39,OUT
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,6.07,6.43,0.35999999999999943,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,5.23,5.55,0.3199999999999994,WEIGHT_CHANGE
2383,台光電,445000,445000,0,4.57,4.82,0.25,WEIGHT_CHANGE
3017,奇鋐,275000,275000,0,1.49,1.6,0.1100000000000001,WEIGHT_CHANGE
TSEM US,TOWER SEMICONDUCTOR LTD,216825,216825,0,2.7,2.81,0.10999999999999988,WEIGHT_CHANGE
STX US,SEAGATE TECHNOLOGY,60000,60000,0,2.89,2.97,0.08000000000000007,WEIGHT_CHANGE
2454,聯發科,200000,200000,0,1.37,1.45,0.07999999999999985,WEIGHT_CHANGE
2308,台達電,720000,720000,0,2.26,2.32,0.06000000000000005,WEIGHT_CHANGE
PLTR US,PALANTIR TECHNOLOGIES INC-A,180000,180000,0,1.82,1.87,0.050000000000000044,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,205000,205000,0,2.89,2.94,0.04999999999999982,WEIGHT_CHANGE
COHR US,COHERENT INC,95000,95000,0,1.6,1.64,0.039999999999999813,WEIGHT_CHANGE
SPCX US,SPACE EXPLORATION TECHN-CL A,300000,300000,0,2.42,2.45,0.03000000000000025,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.54,3.57,0.029999999999999805,WEIGHT_CHANGE
2330,台積電,650000,650000,0,2.87,2.89,0.020000000000000018,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,70000,70000,0,3.83,3.85,0.020000000000000018,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,45000,45000,0,0.73,0.75,0.020000000000000018,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,55000,55000,0,0.72,0.74,0.020000000000000018,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,130000,0,3.65,3.66,0.010000000000000231,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,425000,425000,0,1.59,1.6,0.010000000000000009,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.73,0.72,-0.010000000000000009,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,200000,200000,0,0.51,0.5,-0.010000000000000009,WEIGHT_CHANGE
TER US,TERADYNE INC,55000,55000,0,1.18,1.17,-0.010000000000000009,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,225000,0,2.99,2.98,-0.010000000000000231,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,2.99,2.98,-0.010000000000000231,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.41,2.4,-0.010000000000000231,WEIGHT_CHANGE
000660 KS,SK HYNIX INC,15000,15000,0,1.09,1.07,-0.020000000000000018,WEIGHT_CHANGE
2327,國巨*,1550000,1550000,0,1.55,1.53,-0.020000000000000018,WEIGHT_CHANGE
AEM US,AGNICO EAGLE MINES LTD,60000,60000,0,0.79,0.75,-0.040000000000000036,WEIGHT_CHANGE
6871 JP,MICRONICS JAPAN CO LTD,370000,370000,0,1.89,1.84,-0.04999999999999982,WEIGHT_CHANGE
CRCL US,CIRCLE INTERNET GROUP INC,480000,480000,0,2.59,2.53,-0.06000000000000005,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,180000,180000,0,3.39,3.31,-0.08000000000000007,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.07,3.91,-0.16000000000000014,WEIGHT_CHANGE
6223,旺矽,242000,242000,0,2.49,2.24,-0.25,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,250000,250000,0,3.18,3.19,0.009999999999999787,SAME
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1749879,0,1.66,1.66,0.0,SAME
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,291988,0,1.0,1.0,0.0,SAME
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,110000,0,0.83,0.83,0.0,SAME
4180 JP,APPIER GROUP INC,950000,950000,0,0.45,0.45,0.0,SAME
4979,華星光,735000,735000,0,0.81,0.81,0.0,SAME
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.26,1.26,0.0,SAME
FORM US,FORMFACTOR INC,150454,150454,0,0.95,0.95,0.0,SAME
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,18000,0,1.38,1.37,-0.009999999999999787,SAME
095340 KS,ISC CO LTD,50000,50000,0,0.35,0.34,-0.009999999999999953,SAME
