code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
CRWD US,CROWDSTRIKE HOLDINGS INC - A,0,16754,16754,0.0,0.25,0.25,NEW
SPCX US,SPACE EXPLORATION TECHN-CL A,500000,550000,50000,4.64,5.12,0.4800000000000004,UP
2454,聯發科,300000,330000,30000,2.66,2.98,0.31999999999999984,UP
BE US,BLOOM ENERGY CORP- A,280000,310000,30000,4.74,5.01,0.2699999999999996,UP
AIXA GY,AIXTRON SE,140000,139635,-365,0.37,0.34,-0.02999999999999997,DOWN
TSEM US,TOWER SEMICONDUCTOR LTD,100000,68249,-31751,1.3,0.82,-0.4800000000000001,DOWN
CRCL US,CIRCLE INTERNET GROUP INC,320000,160000,-160000,1.78,0.98,-0.8,DOWN
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.04,3.53,0.48999999999999977,WEIGHT_CHANGE
NOW US,SERVICENOW INC,230000,230000,0,1.87,2.06,0.18999999999999995,WEIGHT_CHANGE
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,225000,0,2.31,2.45,0.14000000000000012,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,70000,70000,0,1.32,1.45,0.1299999999999999,WEIGHT_CHANGE
MSFT US,MICROSOFT CORP(微軟公司),92000,92000,0,2.8,2.92,0.1200000000000001,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.62,2.72,0.10000000000000009,WEIGHT_CHANGE
HOOD US,ROBINHOOD MARKETS INC - A,300120,300120,0,2.07,2.16,0.0900000000000003,WEIGHT_CHANGE
992 HK,LENOVO GROUP LTD,6000000,6000000,0,1.47,1.55,0.08000000000000007,WEIGHT_CHANGE
4979,華星光,1510000,1510000,0,1.55,1.63,0.07999999999999985,WEIGHT_CHANGE
2383,台光電,400000,400000,0,4.16,4.23,0.07000000000000028,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,4.92,4.99,0.07000000000000028,WEIGHT_CHANGE
2303,聯電,7000000,7000000,0,1.9,1.97,0.07000000000000006,WEIGHT_CHANGE
4180 JP,APPIER GROUP INC,950000,950000,0,0.54,0.59,0.04999999999999993,WEIGHT_CHANGE
NTRA US,NATERA INC,25000,25000,0,0.5,0.54,0.040000000000000036,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,55000,55000,0,0.77,0.8,0.030000000000000027,WEIGHT_CHANGE
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,334997,334997,0,1.93,1.92,-0.010000000000000009,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.79,0.78,-0.010000000000000009,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.36,1.35,-0.010000000000000009,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.95,3.94,-0.010000000000000231,WEIGHT_CHANGE
6515,穎崴,100000,100000,0,1.33,1.31,-0.020000000000000018,WEIGHT_CHANGE
NVDA US,NVIDIA CORP(輝達公司),175000,175000,0,2.34,2.32,-0.020000000000000018,WEIGHT_CHANGE
SNDK US,SANDISK CORP,10000,10000,0,1.0,0.98,-0.020000000000000018,WEIGHT_CHANGE
STX US,SEAGATE TECHNOLOGY,60000,60000,0,3.06,3.04,-0.020000000000000018,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,50000,0,1.58,1.55,-0.030000000000000027,WEIGHT_CHANGE
INTC US,INTEL CORP,300000,300000,0,1.89,1.83,-0.05999999999999983,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,300000,300000,0,1.25,1.18,-0.07000000000000006,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.46,4.37,-0.08999999999999986,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,110000,110000,0,2.37,2.27,-0.10000000000000009,WEIGHT_CHANGE
000660 KS,SK HYNIX INC,25000,25000,0,2.09,1.98,-0.10999999999999988,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,60000,60000,0,3.59,3.48,-0.10999999999999988,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,220000,220000,0,2.01,1.89,-0.11999999999999988,WEIGHT_CHANGE
TER US,TERADYNE INC,70000,70000,0,1.63,1.45,-0.17999999999999994,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,6.65,6.14,-0.5100000000000007,WEIGHT_CHANGE
2330,台積電,400000,400000,0,1.87,1.88,0.009999999999999787,SAME
3017,奇鋐,440000,440000,0,2.87,2.88,0.009999999999999787,SAME
AEM US,AGNICO EAGLE MINES LTD,60000,60000,0,0.74,0.74,0.0,SAME
