code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
VECO US,VEECO INSTRUMENTS INC,0,200000,200000,0.0,0.6,0.6,NEW
3037,欣興,2200000,2400000,200000,3.07,3.62,0.5500000000000003,UP
FTNT US,FORTINET INC,100000,160000,60000,0.84,1.38,0.5399999999999999,UP
NOW US,SERVICENOW INC,100000,150000,50000,0.56,0.9,0.33999999999999997,UP
VSH US,VISHAY INTERTECHNOLOGY INC,500000,250000,-250000,1.13,0.56,-0.5699999999999998,DOWN
000660 KS,SK HYNIX INC,20000,10000,-10000,1.53,0.65,-0.88,DOWN
688146 CH,PERIC SPECIAL GASES CO LTD-A,240000,0,-240000,0.66,0.0,-0.66,OUT
3436 JP,SUMCO CORP,1291200,1291200,0,1.86,2.19,0.32999999999999985,WEIGHT_CHANGE
2330,台積電,620000,620000,0,2.39,2.53,0.13999999999999968,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,205000,0,5.75,5.89,0.13999999999999968,WEIGHT_CHANGE
8035 JP,TOKYO ELECTRON LTD,110000,110000,0,2.47,2.6,0.1299999999999999,WEIGHT_CHANGE
6920 JP,LASERTEC CORP,87500,87500,0,1.19,1.3,0.1100000000000001,WEIGHT_CHANGE
6871 JP,MICRONICS JAPAN CO LTD,300000,300000,0,1.55,1.64,0.08999999999999986,WEIGHT_CHANGE
AMAT US,APPLIED MATERIALS INC,125000,125000,0,3.78,3.86,0.08000000000000007,WEIGHT_CHANGE
6278 JP,UNION TOOL CO,90000,90000,0,0.55,0.62,0.06999999999999995,WEIGHT_CHANGE
2454,聯發科,445000,445000,0,2.78,2.84,0.06000000000000005,WEIGHT_CHANGE
3711,日月光投控,1400000,1400000,0,1.51,1.57,0.06000000000000005,WEIGHT_CHANGE
2303,聯電,6000000,6000000,0,1.49,1.54,0.050000000000000044,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,44000,44000,0,1.77,1.82,0.050000000000000044,WEIGHT_CHANGE
2383,台光電,330000,330000,0,2.78,2.82,0.040000000000000036,WEIGHT_CHANGE
2308,台達電,175000,175000,0,0.52,0.55,0.030000000000000027,WEIGHT_CHANGE
6274,台燿,375000,375000,0,0.94,0.97,0.030000000000000027,WEIGHT_CHANGE
KLAC US,KLA CORP,130000,130000,0,1.53,1.55,0.020000000000000018,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,90000,90000,0,2.67,2.69,0.020000000000000018,WEIGHT_CHANGE
STM US,STMICROELECTRONICS NV-NY SHS,475000,475000,0,1.74,1.75,0.010000000000000009,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,0.81,0.8,-0.010000000000000009,WEIGHT_CHANGE
COHR US,COHERENT INC,27500,27500,0,0.46,0.45,-0.010000000000000009,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,380000,380000,0,1.01,0.99,-0.020000000000000018,WEIGHT_CHANGE
6223,旺矽,145000,145000,0,1.64,1.61,-0.029999999999999805,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.58,1.54,-0.040000000000000036,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,106000,106000,0,5.39,5.34,-0.04999999999999982,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,599909,599909,0,0.61,0.53,-0.07999999999999996,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,160000,160000,0,2.18,2.04,-0.14000000000000012,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,250000,250000,0,3.3,3.14,-0.1599999999999997,WEIGHT_CHANGE
2327,國巨*,2400000,2400000,0,3.44,3.27,-0.16999999999999993,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,230000,230000,0,2.87,2.69,-0.18000000000000016,WEIGHT_CHANGE
SNDK US,SANDISK CORP,48000,48000,0,4.58,4.32,-0.2599999999999998,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),83000,83000,0,4.27,3.82,-0.44999999999999973,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,760000,760000,0,3.53,2.99,-0.5399999999999996,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,225000,225000,0,5.54,5.0,-0.54,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1250000,1250000,0,3.74,3.75,0.009999999999999787,SAME
4062 JP,IBIDEN CO LTD,275000,275000,0,1.7,1.7,0.0,SAME
IFX GY,INFINEON TECHNOLOGIES AG,625000,625000,0,2.69,2.69,0.0,SAME
