code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
AMAT US,APPLIED MATERIALS INC,65000,93000,28000,2.34,3.34,1.0,UP
6976 JP,TAIYO YUDEN CO LTD,529500,650000,120500,3.15,4.02,0.8699999999999997,UP
3037,欣興,1900000,2200000,300000,3.01,3.68,0.6700000000000004,UP
2327,國巨*,1400000,1600000,200000,2.36,2.85,0.4900000000000002,UP
6274,台燿,244000,375000,131000,0.62,0.98,0.36,UP
7826 JP,FURUYA METAL CO LTD,374300,273000,-101300,0.99,0.68,-0.30999999999999994,DOWN
BESI NA,BE SEMICONDUCTOR INDUSTRIES,60000,23000,-37000,0.99,0.37,-0.62,DOWN
6515,穎崴,30000,0,-30000,0.39,0.0,-0.39,OUT
SNDK US,SANDISK CORP,45000,45000,0,4.77,5.09,0.3200000000000003,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,230000,230000,0,3.27,3.46,0.18999999999999995,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,195000,0,5.44,5.63,0.1899999999999995,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,80000,0,5.52,5.65,0.13000000000000078,WEIGHT_CHANGE
2454,聯發科,445000,445000,0,2.82,2.95,0.13000000000000034,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,230000,230000,0,3.3,3.41,0.11000000000000032,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,120000,0,1.52,1.62,0.10000000000000009,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1066000,1066000,0,3.66,3.72,0.06000000000000005,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,0.8,0.85,0.04999999999999993,WEIGHT_CHANGE
3711,日月光投控,1100000,1100000,0,1.12,1.17,0.04999999999999982,WEIGHT_CHANGE
3436 JP,SUMCO CORP,875400,875400,0,1.07,1.08,0.010000000000000009,WEIGHT_CHANGE
2308,台達電,175000,175000,0,0.54,0.53,-0.010000000000000009,WEIGHT_CHANGE
6278 JP,UNION TOOL CO,90000,90000,0,0.63,0.62,-0.010000000000000009,WEIGHT_CHANGE
ARM US,ARM HOLDINGS PLC,80000,80000,0,1.42,1.41,-0.010000000000000009,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,399909,399909,0,0.51,0.49,-0.020000000000000018,WEIGHT_CHANGE
8035 JP,TOKYO ELECTRON LTD,88000,88000,0,2.1,2.08,-0.020000000000000018,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,380000,380000,0,1.16,1.13,-0.030000000000000027,WEIGHT_CHANGE
COHR US,COHERENT INC,55000,55000,0,1.11,1.08,-0.030000000000000027,WEIGHT_CHANGE
6223,旺矽,115000,115000,0,1.13,1.09,-0.039999999999999813,WEIGHT_CHANGE
2330,台積電,450000,450000,0,1.73,1.69,-0.040000000000000036,WEIGHT_CHANGE
5706 JP,Mitsui Mining ＆ Smelting Co,130000,130000,0,1.74,1.7,-0.040000000000000036,WEIGHT_CHANGE
6871 JP,MICRONICS JAPAN CO LTD,140000,140000,0,0.75,0.71,-0.040000000000000036,WEIGHT_CHANGE
6920 JP,LASERTEC CORP,87500,87500,0,1.38,1.33,-0.04999999999999982,WEIGHT_CHANGE
2303,聯電,6000000,6000000,0,1.6,1.54,-0.06000000000000005,WEIGHT_CHANGE
6787 JP,MEIKO ELECTRONICS CO LTD,100000,100000,0,1.01,0.95,-0.06000000000000005,WEIGHT_CHANGE
688146 CH,PERIC SPECIAL GASES CO LTD-A,240000,240000,0,0.68,0.62,-0.06000000000000005,WEIGHT_CHANGE
STM US,STMICROELECTRONICS NV-NY SHS,475000,475000,0,1.84,1.77,-0.07000000000000006,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,275000,275000,0,2.08,2.01,-0.07000000000000028,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,62000,62000,0,2.73,2.65,-0.08000000000000007,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,2.28,2.15,-0.1299999999999999,WEIGHT_CHANGE
2383,台光電,330000,330000,0,2.92,2.78,-0.14000000000000012,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,204800,204800,0,5.79,5.63,-0.16000000000000014,WEIGHT_CHANGE
VSH US,VISHAY INTERTECHNOLOGY INC,700429,700429,0,2.04,1.87,-0.16999999999999993,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,90000,90000,0,3.03,2.86,-0.16999999999999993,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,116000,116000,0,6.87,6.66,-0.20999999999999996,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,625000,625000,0,2.89,2.89,0.0,SAME
