code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
6871 JP,MICRONICS JAPAN CO LTD,0,140000,140000,0.0,0.76,0.76,NEW
SNDK US,SANDISK CORP,41000,45000,4000,4.15,5.24,1.0899999999999999,UP
2327,國巨*,350000,700000,350000,0.61,1.23,0.62,UP
WDC US,WESTERN DIGITAL CORP,72000,90000,18000,2.45,3.03,0.5799999999999996,UP
8035 JP,TOKYO ELECTRON LTD,76000,88000,12000,1.74,2.04,0.30000000000000004,UP
SOI FP,S.O.I.T.E.C.,90000,57000,-33000,0.58,0.36,-0.21999999999999997,DOWN
6787 JP,MEIKO ELECTRONICS CO LTD,175000,150000,-25000,1.85,1.5,-0.3500000000000001,DOWN
CRWD US,CROWDSTRIKE HOLDINGS INC - A,14000,0,-14000,0.5,0.0,-0.5,OUT
MU US,MICRON TECHNOLOGY INC,116000,116000,0,6.43,7.03,0.6000000000000005,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,185000,185000,0,5.59,5.92,0.33000000000000007,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,2.23,2.35,0.1200000000000001,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,415000,415000,0,2.3,2.41,0.11000000000000032,WEIGHT_CHANGE
3037,欣興,1650000,1650000,0,2.55,2.64,0.0900000000000003,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1066000,1066000,0,3.84,3.89,0.050000000000000266,WEIGHT_CHANGE
VSH US,VISHAY INTERTECHNOLOGY INC,700429,700429,0,2.06,2.09,0.029999999999999805,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,275000,275000,0,2.23,2.24,0.010000000000000231,WEIGHT_CHANGE
COHR US,COHERENT INC,55000,55000,0,1.14,1.12,-0.019999999999999796,WEIGHT_CHANGE
6920 JP,LASERTEC CORP,87500,87500,0,1.45,1.43,-0.020000000000000018,WEIGHT_CHANGE
STM US,STMICROELECTRONICS NV-NY SHS,475000,475000,0,1.8,1.78,-0.020000000000000018,WEIGHT_CHANGE
6278 JP,UNION TOOL CO,90000,90000,0,0.68,0.65,-0.030000000000000027,WEIGHT_CHANGE
3436 JP,SUMCO CORP,875400,875400,0,1.06,1.02,-0.040000000000000036,WEIGHT_CHANGE
688146 CH,PERIC SPECIAL GASES CO LTD-A,200000,200000,0,0.61,0.57,-0.040000000000000036,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,0.9,0.84,-0.06000000000000005,WEIGHT_CHANGE
2308,台達電,350000,350000,0,1.16,1.09,-0.06999999999999984,WEIGHT_CHANGE
6274,台燿,244000,244000,0,0.72,0.65,-0.06999999999999995,WEIGHT_CHANGE
7826 JP,FURUYA METAL CO LTD,374300,374300,0,1.11,1.04,-0.07000000000000006,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,380000,380000,0,1.22,1.14,-0.08000000000000007,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,625000,625000,0,2.98,2.9,-0.08000000000000007,WEIGHT_CHANGE
3711,日月光投控,1100000,1100000,0,1.19,1.1,-0.08999999999999986,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,62000,62000,0,2.76,2.67,-0.08999999999999986,WEIGHT_CHANGE
2303,聯電,6000000,6000000,0,1.77,1.68,-0.09000000000000008,WEIGHT_CHANGE
2330,台積電,400000,400000,0,1.59,1.5,-0.09000000000000008,WEIGHT_CHANGE
5706 JP,Mitsui Mining ＆ Smelting Co,130000,130000,0,1.96,1.86,-0.09999999999999987,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,120000,0,1.71,1.61,-0.09999999999999987,WEIGHT_CHANGE
BESI NA,BE SEMICONDUCTOR INDUSTRIES,90000,90000,0,1.58,1.47,-0.1100000000000001,WEIGHT_CHANGE
2383,台光電,330000,330000,0,3.05,2.92,-0.1299999999999999,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,230000,230000,0,3.36,3.23,-0.1299999999999999,WEIGHT_CHANGE
6223,旺矽,115000,115000,0,1.37,1.24,-0.13000000000000012,WEIGHT_CHANGE
ARM US,ARM HOLDINGS PLC,80000,80000,0,1.52,1.39,-0.13000000000000012,WEIGHT_CHANGE
5274,信驊,46000,46000,0,1.4,1.26,-0.1399999999999999,WEIGHT_CHANGE
6515,穎崴,88000,88000,0,1.39,1.25,-0.1399999999999999,WEIGHT_CHANGE
2454,聯發科,445000,445000,0,3.17,3.0,-0.16999999999999993,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,195000,0,5.36,5.18,-0.1800000000000006,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,80000,0,5.39,5.18,-0.20999999999999996,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,230000,230000,0,3.96,3.55,-0.41000000000000014,WEIGHT_CHANGE
