code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
BE US,BLOOM ENERGY CORP- A,210000,250000,40000,2.56,3.18,0.6200000000000001,UP
CRCL US,CIRCLE INTERNET GROUP INC,400000,480000,80000,2.1,2.59,0.48999999999999977,UP
4979,華星光,450000,735000,285000,0.46,0.81,0.35000000000000003,UP
2454,聯發科,300000,200000,-100000,2.11,1.37,-0.7399999999999998,DOWN
WDC US,WESTERN DIGITAL CORP,40000,0,-40000,1.04,0.0,-1.04,OUT
3711,日月光投控,1000000,0,-1000000,1.11,0.0,-1.11,OUT
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,5.8,6.07,0.27000000000000046,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,3.95,4.07,0.1200000000000001,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,130000,0,3.55,3.65,0.10000000000000009,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,205000,205000,0,2.81,2.89,0.08000000000000007,WEIGHT_CHANGE
2383,台光電,445000,445000,0,4.52,4.57,0.05000000000000071,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.68,0.73,0.04999999999999993,WEIGHT_CHANGE
COHR US,COHERENT INC,95000,95000,0,1.56,1.6,0.040000000000000036,WEIGHT_CHANGE
STX US,SEAGATE TECHNOLOGY,60000,60000,0,2.85,2.89,0.040000000000000036,WEIGHT_CHANGE
3017,奇鋐,275000,275000,0,1.47,1.49,0.020000000000000018,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,70000,70000,0,3.81,3.83,0.020000000000000018,WEIGHT_CHANGE
095340 KS,ISC CO LTD,50000,50000,0,0.33,0.35,0.019999999999999962,WEIGHT_CHANGE
000660 KS,SK HYNIX INC,15000,15000,0,1.08,1.09,0.010000000000000009,WEIGHT_CHANGE
AEM US,AGNICO EAGLE MINES LTD,60000,60000,0,0.78,0.79,0.010000000000000009,WEIGHT_CHANGE
AEHR US,AEHR TEST SYSTEMS,70000,70000,0,0.4,0.39,-0.010000000000000009,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,55000,55000,0,0.73,0.72,-0.010000000000000009,WEIGHT_CHANGE
2330,台積電,650000,650000,0,2.89,2.87,-0.020000000000000018,WEIGHT_CHANGE
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,291988,0,1.02,1.0,-0.020000000000000018,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,110000,0,0.85,0.83,-0.020000000000000018,WEIGHT_CHANGE
FORM US,FORMFACTOR INC,150454,150454,0,0.97,0.95,-0.020000000000000018,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,425000,425000,0,1.61,1.59,-0.020000000000000018,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,45000,45000,0,0.75,0.73,-0.020000000000000018,WEIGHT_CHANGE
TER US,TERADYNE INC,55000,55000,0,1.2,1.18,-0.020000000000000018,WEIGHT_CHANGE
6223,旺矽,242000,242000,0,2.52,2.49,-0.029999999999999805,WEIGHT_CHANGE
TSEM US,TOWER SEMICONDUCTOR LTD,216825,216825,0,2.73,2.7,-0.029999999999999805,WEIGHT_CHANGE
4180 JP,APPIER GROUP INC,950000,950000,0,0.48,0.45,-0.02999999999999997,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1749879,0,1.69,1.66,-0.030000000000000027,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.29,1.26,-0.030000000000000027,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.58,3.54,-0.040000000000000036,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,180000,180000,0,3.44,3.39,-0.04999999999999982,WEIGHT_CHANGE
2327,國巨*,1550000,1550000,0,1.6,1.55,-0.050000000000000044,WEIGHT_CHANGE
SNDK US,SANDISK CORP,21000,21000,0,1.87,1.82,-0.050000000000000044,WEIGHT_CHANGE
PLTR US,PALANTIR TECHNOLOGIES INC-A,180000,180000,0,1.89,1.82,-0.06999999999999984,WEIGHT_CHANGE
2308,台達電,720000,720000,0,2.34,2.26,-0.08000000000000007,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.51,2.41,-0.09999999999999964,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.14,2.99,-0.1499999999999999,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,5.23,5.23,0.0,SAME
6871 JP,MICRONICS JAPAN CO LTD,370000,370000,0,1.89,1.89,0.0,SAME
AIXA GY,AIXTRON SE,200000,200000,0,0.51,0.51,0.0,SAME
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,225000,0,2.99,2.99,0.0,SAME
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,18000,0,1.38,1.38,0.0,SAME
SPCX US,SPACE EXPLORATION TECHN-CL A,300000,300000,0,2.42,2.42,0.0,SAME
