code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
005930 KS,samsung electronics co ltd(005930 KS),0,75000,75000,0.0,0.82,0.82,NEW
2327,國巨*,1600000,2000000,400000,2.84,3.46,0.6200000000000001,UP
3436 JP,SUMCO CORP,1117500,1291200,173700,1.7,2.16,0.4600000000000002,UP
7826 JP,FURUYA METAL CO LTD,42000,0,-42000,0.11,0.0,-0.11,OUT
5706 JP,Mitsui Mining ＆ Smelting Co,130000,0,-130000,1.65,0.0,-1.65,OUT
285A JP,KIOXIA HOLDINGS CORP,204800,204800,0,5.19,5.61,0.41999999999999993,WEIGHT_CHANGE
2383,台光電,330000,330000,0,3.14,3.32,0.17999999999999972,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,2.18,2.34,0.1599999999999997,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,80000,0,5.38,5.49,0.11000000000000032,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,380000,380000,0,1.08,1.14,0.05999999999999983,WEIGHT_CHANGE
6274,台燿,375000,375000,0,1.07,1.11,0.040000000000000036,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1066000,1066000,0,3.85,3.88,0.029999999999999805,WEIGHT_CHANGE
2303,聯電,6000000,6000000,0,1.67,1.69,0.020000000000000018,WEIGHT_CHANGE
2308,台達電,175000,175000,0,0.58,0.6,0.020000000000000018,WEIGHT_CHANGE
6278 JP,UNION TOOL CO,90000,90000,0,0.64,0.66,0.020000000000000018,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,625000,625000,0,2.92,2.93,0.010000000000000231,WEIGHT_CHANGE
6787 JP,MEIKO ELECTRONICS CO LTD,50000,50000,0,0.47,0.48,0.010000000000000009,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,0.99,0.98,-0.010000000000000009,WEIGHT_CHANGE
KLAC US,KLA CORP,60000,60000,0,0.76,0.75,-0.010000000000000009,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,760000,760000,0,5.15,5.14,-0.010000000000000675,WEIGHT_CHANGE
6920 JP,LASERTEC CORP,87500,87500,0,1.39,1.37,-0.019999999999999796,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,399909,399909,0,0.47,0.45,-0.019999999999999962,WEIGHT_CHANGE
COHR US,COHERENT INC,55000,55000,0,0.99,0.97,-0.020000000000000018,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,120000,0,1.56,1.54,-0.020000000000000018,WEIGHT_CHANGE
STM US,STMICROELECTRONICS NV-NY SHS,475000,475000,0,1.75,1.72,-0.030000000000000027,WEIGHT_CHANGE
VSH US,VISHAY INTERTECHNOLOGY INC,700429,700429,0,1.73,1.7,-0.030000000000000027,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,275000,275000,0,2.14,2.11,-0.03000000000000025,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,62000,62000,0,2.43,2.39,-0.040000000000000036,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,90000,90000,0,2.61,2.57,-0.040000000000000036,WEIGHT_CHANGE
AMAT US,APPLIED MATERIALS INC,93000,93000,0,3.02,2.97,-0.04999999999999982,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,230000,230000,0,3.04,2.99,-0.04999999999999982,WEIGHT_CHANGE
2330,台積電,450000,450000,0,1.87,1.82,-0.050000000000000044,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,230000,230000,0,3.35,3.3,-0.050000000000000266,WEIGHT_CHANGE
SNDK US,SANDISK CORP,45000,45000,0,4.22,4.16,-0.05999999999999961,WEIGHT_CHANGE
688146 CH,PERIC SPECIAL GASES CO LTD-A,240000,240000,0,0.69,0.62,-0.06999999999999995,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),195000,195000,0,5.43,5.34,-0.08999999999999986,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,116000,116000,0,6.09,5.99,-0.09999999999999964,WEIGHT_CHANGE
3037,欣興,2200000,2200000,0,3.63,3.53,-0.10000000000000009,WEIGHT_CHANGE
3711,日月光投控,1100000,1100000,0,1.35,1.24,-0.1100000000000001,WEIGHT_CHANGE
2454,聯發科,445000,445000,0,3.26,3.09,-0.16999999999999993,WEIGHT_CHANGE
6223,旺矽,115000,115000,0,1.4,1.4,0.0,SAME
6871 JP,MICRONICS JAPAN CO LTD,140000,140000,0,0.74,0.74,0.0,SAME
ARM US,ARM HOLDINGS PLC,6946,6946,0,0.12,0.12,0.0,SAME
8035 JP,TOKYO ELECTRON LTD,88000,88000,0,2.13,2.12,-0.009999999999999787,SAME
