code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
4180 JP,APPIER GROUP INC,0,250000,250000,0.0,0.11,0.11,NEW
STX US,SEAGATE TECHNOLOGY,50000,60000,10000,2.6,3.13,0.5299999999999998,UP
2308,台達電,580000,720000,140000,1.83,2.24,0.41000000000000014,UP
SPCX US,SPACE EXPLORATION TECHN-CL A,160000,200000,40000,1.2,1.53,0.33000000000000007,UP
3711,日月光投控,1350000,1000000,-350000,1.39,1.01,-0.3799999999999999,DOWN
2454,聯發科,445000,370000,-75000,3.13,2.47,-0.6599999999999997,DOWN
NOW US,SERVICENOW INC,270000,135000,-135000,1.79,0.83,-0.9600000000000001,DOWN
AMAT US,APPLIED MATERIALS INC,48000,0,-48000,1.3,0.0,-1.3,OUT
285A JP,KIOXIA HOLDINGS CORP,180000,180000,0,3.25,3.67,0.41999999999999993,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,4.43,4.8,0.3700000000000001,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,225000,0,3.13,3.34,0.20999999999999996,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,5.8,5.95,0.15000000000000036,WEIGHT_CHANGE
SNDK US,SANDISK CORP,21000,21000,0,1.84,1.97,0.1299999999999999,WEIGHT_CHANGE
COHR US,COHERENT INC,95000,95000,0,1.66,1.75,0.09000000000000008,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,205000,205000,0,2.44,2.52,0.08000000000000007,WEIGHT_CHANGE
2383,台光電,445000,445000,0,4.59,4.66,0.07000000000000028,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,70000,70000,0,3.64,3.71,0.06999999999999984,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,80000,80000,0,2.18,2.25,0.06999999999999984,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,110000,0,0.88,0.93,0.050000000000000044,WEIGHT_CHANGE
TER US,TERADYNE INC,55000,55000,0,1.23,1.28,0.050000000000000044,WEIGHT_CHANGE
6787 JP,MEIKO ELECTRONICS CO LTD,160000,160000,0,0.98,1.02,0.040000000000000036,WEIGHT_CHANGE
AEHR US,AEHR TEST SYSTEMS,70000,70000,0,0.5,0.53,0.030000000000000027,WEIGHT_CHANGE
FORM US,FORMFACTOR INC,150454,150454,0,1.06,1.09,0.030000000000000027,WEIGHT_CHANGE
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,291988,0,1.04,1.05,0.010000000000000009,WEIGHT_CHANGE
4979,華星光,450000,450000,0,0.39,0.4,0.010000000000000009,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,450000,450000,0,1.67,1.68,0.010000000000000009,WEIGHT_CHANGE
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,18000,0,1.35,1.34,-0.010000000000000009,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1749879,0,1.79,1.77,-0.020000000000000018,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,210000,210000,0,2.58,2.56,-0.020000000000000018,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,425000,425000,0,1.62,1.6,-0.020000000000000018,WEIGHT_CHANGE
2330,台積電,650000,650000,0,2.6,2.57,-0.03000000000000025,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,1.16,1.12,-0.039999999999999813,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,55000,55000,0,0.7,0.66,-0.039999999999999925,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.36,1.32,-0.040000000000000036,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,45000,45000,0,0.76,0.72,-0.040000000000000036,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.29,2.25,-0.040000000000000036,WEIGHT_CHANGE
PLTR US,PALANTIR TECHNOLOGIES INC-A,180000,180000,0,1.68,1.63,-0.050000000000000044,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.74,3.69,-0.050000000000000266,WEIGHT_CHANGE
2327,國巨*,1550000,1550000,0,1.61,1.55,-0.06000000000000005,WEIGHT_CHANGE
LMT US,LOCKHEED MARTIN CORP,38000,38000,0,1.24,1.18,-0.06000000000000005,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.14,4.07,-0.0699999999999994,WEIGHT_CHANGE
TSEM US,TOWER SEMICONDUCTOR LTD,216825,216825,0,3.08,3.0,-0.08000000000000007,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.08,2.96,-0.1200000000000001,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,130000,0,3.58,3.45,-0.1299999999999999,WEIGHT_CHANGE
6223,旺矽,242000,242000,0,2.61,2.31,-0.2999999999999998,WEIGHT_CHANGE
6871 JP,MICRONICS JAPAN CO LTD,370000,370000,0,1.87,1.87,0.0,SAME
AIXA GY,AIXTRON SE,200000,200000,0,0.51,0.51,0.0,SAME
