code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
STX US,SEAGATE TECHNOLOGY,20000,50000,30000,1.0,2.6,1.6,UP
SPCX US,SPACE EXPLORATION TECHN-CL A,100000,160000,60000,0.77,1.2,0.42999999999999994,UP
PLTR US,PALANTIR TECHNOLOGIES INC-A,130000,180000,50000,1.26,1.68,0.41999999999999993,UP
2308,台達電,468000,580000,112000,1.49,1.83,0.3400000000000001,UP
3711,日月光投控,1800000,1350000,-450000,1.9,1.39,-0.51,DOWN
AMAT US,APPLIED MATERIALS INC,68000,48000,-20000,1.97,1.3,-0.6699999999999999,DOWN
2383,台光電,445000,445000,0,4.27,4.59,0.3200000000000003,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,5.59,5.8,0.20999999999999996,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),130000,130000,0,3.41,3.58,0.16999999999999993,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,3.98,4.14,0.1599999999999997,WEIGHT_CHANGE
SNDK US,SANDISK CORP,21000,21000,0,1.74,1.84,0.10000000000000009,WEIGHT_CHANGE
TSEM US,TOWER SEMICONDUCTOR LTD,216825,216825,0,2.98,3.08,0.10000000000000009,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,180000,180000,0,3.17,3.25,0.08000000000000007,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,80000,80000,0,2.12,2.18,0.06000000000000005,WEIGHT_CHANGE
6871 JP,MICRONICS JAPAN CO LTD,370000,370000,0,1.82,1.87,0.050000000000000044,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,4.39,4.43,0.040000000000000036,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,70000,70000,0,3.61,3.64,0.03000000000000025,WEIGHT_CHANGE
AEHR US,AEHR TEST SYSTEMS,70000,70000,0,0.47,0.5,0.030000000000000027,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.34,1.36,0.020000000000000018,WEIGHT_CHANGE
MPWR US,MONOLITHIC POWER SYSTEMS INC,18000,18000,0,1.33,1.35,0.020000000000000018,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,110000,110000,0,0.87,0.88,0.010000000000000009,WEIGHT_CHANGE
LMT US,LOCKHEED MARTIN CORP,38000,38000,0,1.23,1.24,0.010000000000000009,WEIGHT_CHANGE
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,291988,291988,0,1.05,1.04,-0.010000000000000009,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,450000,450000,0,1.68,1.67,-0.010000000000000009,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,200000,200000,0,0.52,0.51,-0.010000000000000009,WEIGHT_CHANGE
FORM US,FORMFACTOR INC,150454,150454,0,1.07,1.06,-0.010000000000000009,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1749879,1749879,0,1.81,1.79,-0.020000000000000018,WEIGHT_CHANGE
COHR US,COHERENT INC,95000,95000,0,1.69,1.66,-0.030000000000000027,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,205000,205000,0,2.47,2.44,-0.03000000000000025,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,425000,425000,0,1.66,1.62,-0.039999999999999813,WEIGHT_CHANGE
4979,華星光,450000,450000,0,0.43,0.39,-0.03999999999999998,WEIGHT_CHANGE
2454,聯發科,445000,445000,0,3.17,3.13,-0.040000000000000036,WEIGHT_CHANGE
6223,旺矽,242000,242000,0,2.65,2.61,-0.040000000000000036,WEIGHT_CHANGE
6787 JP,MEIKO ELECTRONICS CO LTD,160000,160000,0,1.02,0.98,-0.040000000000000036,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,55000,55000,0,0.74,0.7,-0.040000000000000036,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,45000,45000,0,0.81,0.76,-0.050000000000000044,WEIGHT_CHANGE
2330,台積電,650000,650000,0,2.67,2.6,-0.06999999999999984,WEIGHT_CHANGE
NOW US,SERVICENOW INC,270000,270000,0,1.86,1.79,-0.07000000000000006,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.82,3.74,-0.07999999999999963,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.38,2.29,-0.08999999999999986,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,210000,210000,0,2.69,2.58,-0.10999999999999988,WEIGHT_CHANGE
2327,國巨*,1550000,1550000,0,1.73,1.61,-0.11999999999999988,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,225000,225000,0,3.25,3.13,-0.1200000000000001,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.22,3.08,-0.14000000000000012,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,1.16,1.16,0.0,SAME
TER US,TERADYNE INC,55000,55000,0,1.23,1.23,0.0,SAME
