code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
FTNT US,FORTINET INC,0,100000,100000,0.0,0.84,0.84,NEW
NOW US,SERVICENOW INC,0,100000,100000,0.0,0.56,0.56,NEW
6871 JP,MICRONICS JAPAN CO LTD,140000,300000,160000,0.69,1.55,0.8600000000000001,UP
285A JP,KIOXIA HOLDINGS CORP,204800,225000,20200,4.87,5.54,0.6699999999999999,UP
6981 JP,MURATA MANUFACTURING CO LTD,1066000,1250000,184000,3.18,3.74,0.56,UP
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,120000,160000,40000,1.67,2.18,0.5100000000000002,UP
8035 JP,TOKYO ELECTRON LTD,88000,110000,22000,1.96,2.47,0.5100000000000002,UP
SNDK US,SANDISK CORP,45000,48000,3000,4.17,4.58,0.41000000000000014,UP
3711,日月光投控,1100000,1400000,300000,1.15,1.51,0.3600000000000001,UP
AMAT US,APPLIED MATERIALS INC,115000,125000,10000,3.52,3.78,0.2599999999999998,UP
2327,國巨*,2200000,2400000,200000,3.27,3.44,0.16999999999999993,UP
2330,台積電,550000,620000,70000,2.27,2.39,0.1200000000000001,UP
005930 KS,samsung electronics co ltd(005930 KS),200000,0,-200000,1.91,0.0,-1.91,OUT
009150 KS,Samsung Electro-Mechanics co(009150 ks),83000,83000,0,4.11,4.27,0.15999999999999925,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,44000,44000,0,1.67,1.77,0.10000000000000009,WEIGHT_CHANGE
000660 KS,SK HYNIX INC,20000,20000,0,1.45,1.53,0.08000000000000007,WEIGHT_CHANGE
6223,旺矽,145000,145000,0,1.56,1.64,0.07999999999999985,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,205000,0,5.69,5.75,0.05999999999999961,WEIGHT_CHANGE
688146 CH,PERIC SPECIAL GASES CO LTD-A,240000,240000,0,0.63,0.66,0.030000000000000027,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,230000,230000,0,2.86,2.87,0.010000000000000231,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,380000,380000,0,1.0,1.01,0.010000000000000009,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,599909,599909,0,0.62,0.61,-0.010000000000000009,WEIGHT_CHANGE
6278 JP,UNION TOOL CO,90000,90000,0,0.56,0.55,-0.010000000000000009,WEIGHT_CHANGE
KLAC US,KLA CORP,130000,130000,0,1.54,1.53,-0.010000000000000009,WEIGHT_CHANGE
STM US,STMICROELECTRONICS NV-NY SHS,475000,475000,0,1.75,1.74,-0.010000000000000009,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,0.84,0.81,-0.029999999999999916,WEIGHT_CHANGE
2308,台達電,175000,175000,0,0.55,0.52,-0.030000000000000027,WEIGHT_CHANGE
6920 JP,LASERTEC CORP,87500,87500,0,1.22,1.19,-0.030000000000000027,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,275000,275000,0,1.74,1.7,-0.040000000000000036,WEIGHT_CHANGE
3436 JP,SUMCO CORP,1291200,1291200,0,1.92,1.86,-0.05999999999999983,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.65,1.58,-0.06999999999999984,WEIGHT_CHANGE
6274,台燿,375000,375000,0,1.03,0.94,-0.09000000000000008,WEIGHT_CHANGE
3037,欣興,2200000,2200000,0,3.17,3.07,-0.10000000000000009,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,250000,250000,0,3.41,3.3,-0.11000000000000032,WEIGHT_CHANGE
2303,聯電,6000000,6000000,0,1.63,1.49,-0.1399999999999999,WEIGHT_CHANGE
2383,台光電,330000,330000,0,2.93,2.78,-0.15000000000000036,WEIGHT_CHANGE
2454,聯發科,445000,445000,0,2.97,2.78,-0.1900000000000004,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,760000,760000,0,3.76,3.53,-0.22999999999999998,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,90000,90000,0,2.66,2.67,0.009999999999999787,SAME
IFX GY,INFINEON TECHNOLOGIES AG,625000,625000,0,2.69,2.69,0.0,SAME
MU US,MICRON TECHNOLOGY INC,106000,106000,0,5.39,5.39,0.0,SAME
VSH US,VISHAY INTERTECHNOLOGY INC,500000,500000,0,1.13,1.13,0.0,SAME
COHR US,COHERENT INC,27500,27500,0,0.47,0.46,-0.009999999999999953,SAME
