code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
INTC US,INTEL CORP,0,150000,150000,0.0,0.94,0.94,NEW
000660 KS,SK HYNIX INC,15000,25000,10000,1.19,2.01,0.8199999999999998,UP
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,179997,249997,70000,1.01,1.43,0.41999999999999993,UP
4979,華星光,1330000,1510000,180000,1.49,1.73,0.24,UP
SNDK US,SANDISK CORP,13000,10000,-3000,1.35,1.04,-0.31000000000000005,DOWN
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),75000,50000,-25000,2.14,1.51,-0.6300000000000001,DOWN
DASH US,DOORDASH INC - A,50000,0,-50000,0.63,0.0,-0.63,OUT
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,6.15,6.84,0.6899999999999995,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,250000,250000,0,3.77,4.14,0.36999999999999966,WEIGHT_CHANGE
STX US,SEAGATE TECHNOLOGY,60000,60000,0,3.04,3.24,0.20000000000000018,WEIGHT_CHANGE
SPCX US,SPACE EXPLORATION TECHN-CL A,400000,400000,0,3.53,3.67,0.14000000000000012,WEIGHT_CHANGE
6515,穎崴,100000,100000,0,1.32,1.46,0.1399999999999999,WEIGHT_CHANGE
TER US,TERADYNE INC,55000,55000,0,1.17,1.22,0.050000000000000044,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,2.98,3.02,0.040000000000000036,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,4.67,4.7,0.03000000000000025,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,70000,70000,0,1.17,1.19,0.020000000000000018,WEIGHT_CHANGE
4180 JP,APPIER GROUP INC,950000,950000,0,0.53,0.54,0.010000000000000009,WEIGHT_CHANGE
6274,台燿,130000,130000,0,0.34,0.33,-0.010000000000000009,WEIGHT_CHANGE
AEM US,AGNICO EAGLE MINES LTD,60000,60000,0,0.73,0.72,-0.010000000000000009,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,200000,200000,0,0.54,0.53,-0.010000000000000009,WEIGHT_CHANGE
NTRA US,NATERA INC,25000,25000,0,0.49,0.48,-0.010000000000000009,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.62,2.61,-0.010000000000000231,WEIGHT_CHANGE
2454,聯發科,250000,250000,0,2.25,2.23,-0.020000000000000018,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,55000,55000,0,0.76,0.74,-0.020000000000000018,WEIGHT_CHANGE
TSEM US,TOWER SEMICONDUCTOR LTD,216825,216825,0,2.88,2.85,-0.029999999999999805,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.74,0.71,-0.030000000000000027,WEIGHT_CHANGE
MSFT US,MICROSOFT CORP(微軟公司),92000,92000,0,2.74,2.71,-0.03000000000000025,WEIGHT_CHANGE
2303,聯電,3500000,3500000,0,0.95,0.91,-0.039999999999999925,WEIGHT_CHANGE
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,225000,0,2.34,2.29,-0.04999999999999982,WEIGHT_CHANGE
NVDA US,NVIDIA CORP(輝達公司),175000,175000,0,2.41,2.36,-0.050000000000000266,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,110000,110000,0,2.51,2.45,-0.05999999999999961,WEIGHT_CHANGE
2308,台達電,720000,720000,0,2.52,2.46,-0.06000000000000005,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,170000,0,1.56,1.5,-0.06000000000000005,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,60000,60000,0,3.64,3.58,-0.06000000000000005,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,425000,425000,0,1.79,1.72,-0.07000000000000006,WEIGHT_CHANGE
HOOD US,ROBINHOOD MARKETS INC - A,300120,300120,0,2.19,2.1,-0.08999999999999986,WEIGHT_CHANGE
992 HK,LENOVO GROUP LTD,6000000,6000000,0,1.48,1.39,-0.09000000000000008,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.4,1.3,-0.09999999999999987,WEIGHT_CHANGE
NOW US,SERVICENOW INC,230000,230000,0,1.94,1.84,-0.09999999999999987,WEIGHT_CHANGE
3017,奇鋐,440000,440000,0,2.85,2.74,-0.10999999999999988,WEIGHT_CHANGE
2383,台光電,420000,420000,0,4.37,4.25,-0.1200000000000001,WEIGHT_CHANGE
CRCL US,CIRCLE INTERNET GROUP INC,480000,480000,0,2.92,2.76,-0.16000000000000014,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.52,4.33,-0.1899999999999995,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.94,3.68,-0.2599999999999998,WEIGHT_CHANGE
2330,台積電,450000,450000,0,2.1,2.11,0.009999999999999787,SAME
