code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
LITE US,LUMENTUM HOLDINGS INC,57000,77000,20000,2.57,3.48,0.9100000000000001,UP
WDC US,WESTERN DIGITAL CORP,50000,80000,30000,1.52,2.42,0.8999999999999999,UP
TSEM US,TOWER SEMICONDUCTOR LTD,131825,186825,55000,1.79,2.64,0.8500000000000001,UP
3665,貿聯-KY,250000,368000,118000,0.89,1.41,0.5199999999999999,UP
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,599909,899909,300000,0.5,0.76,0.26,UP
2303,聯電,6000000,4500000,-1500000,1.4,1.05,-0.34999999999999987,DOWN
3436 JP,SUMCO CORP,1572000,1000000,-572000,1.99,1.25,-0.74,DOWN
STM US,STMICROELECTRONICS NV-NY SHS,475000,300000,-175000,1.7,0.87,-0.83,DOWN
009150 KS,Samsung Electro-Mechanics co(009150 ks),83000,83000,0,4.1,4.51,0.41000000000000014,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,108569,108569,0,5.67,5.83,0.16000000000000014,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.75,3.83,0.08000000000000007,WEIGHT_CHANGE
6871 JP,MICRONICS JAPAN CO LTD,370000,370000,0,1.93,2.01,0.07999999999999985,WEIGHT_CHANGE
6920 JP,LASERTEC CORP,130000,130000,0,1.87,1.95,0.07999999999999985,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,200000,200000,0,2.49,2.57,0.07999999999999963,WEIGHT_CHANGE
6223,旺矽,190000,190000,0,1.92,1.99,0.07000000000000006,WEIGHT_CHANGE
AMAT US,APPLIED MATERIALS INC,135000,135000,0,4.07,4.12,0.04999999999999982,WEIGHT_CHANGE
3017,奇鋐,115000,115000,0,0.44,0.47,0.02999999999999997,WEIGHT_CHANGE
KLAC US,KLA CORP,160000,160000,0,1.87,1.9,0.029999999999999805,WEIGHT_CHANGE
2454,聯發科,445000,445000,0,2.88,2.89,0.010000000000000231,WEIGHT_CHANGE
SNDK US,SANDISK CORP,35000,35000,0,3.05,3.06,0.010000000000000231,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,60000,60000,0,0.37,0.36,-0.010000000000000009,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,130000,130000,0,1.49,1.48,-0.010000000000000009,WEIGHT_CHANGE
VECO US,VEECO INSTRUMENTS INC,500000,500000,0,1.49,1.48,-0.010000000000000009,WEIGHT_CHANGE
2383,台光電,410000,410000,0,3.53,3.51,-0.020000000000000018,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.42,1.4,-0.020000000000000018,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,200000,200000,0,0.52,0.5,-0.020000000000000018,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,310000,310000,0,3.68,3.66,-0.020000000000000018,WEIGHT_CHANGE
2327,國巨*,1800000,1800000,0,2.13,2.1,-0.029999999999999805,WEIGHT_CHANGE
3711,日月光投控,1800000,1800000,0,1.99,1.96,-0.030000000000000027,WEIGHT_CHANGE
NOW US,SERVICENOW INC,270000,270000,0,1.4,1.35,-0.04999999999999982,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,90000,90000,0,1.64,1.59,-0.04999999999999982,WEIGHT_CHANGE
FTNT US,FORTINET INC,200000,200000,0,1.69,1.64,-0.050000000000000044,WEIGHT_CHANGE
3037,欣興,2400000,2400000,0,3.66,3.61,-0.050000000000000266,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,600000,600000,0,2.51,2.43,-0.07999999999999963,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,180000,180000,0,3.86,3.7,-0.1599999999999997,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,205000,0,6.16,6.0,-0.16000000000000014,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,625000,625000,0,2.71,2.54,-0.16999999999999993,WEIGHT_CHANGE
2308,台達電,320000,320000,0,1.01,1.01,0.0,SAME
2330,台積電,750000,750000,0,3.03,3.03,0.0,SAME
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,189988,0,0.61,0.61,0.0,SAME
AEHR US,AEHR TEST SYSTEMS,10459,10459,0,0.05,0.05,0.0,SAME
8035 JP,TOKYO ELECTRON LTD,110000,110000,0,2.42,2.41,-0.009999999999999787,SAME
