code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
6920 JP,LASERTEC CORP,0,50000,50000,0.0,0.76,0.76,NEW
STM US,STMICROELECTRONICS NV-NY SHS,180000,300000,120000,0.85,1.34,0.4900000000000001,UP
NOK US,NOKIA CORP-SPON ADR,1700000,2100000,400000,1.69,1.99,0.30000000000000004,UP
VSH US,VISHAY INTERTECHNOLOGY INC,672429,725429,53000,2.55,2.64,0.0900000000000003,UP
AIXA GY,AIXTRON SE,305000,340000,35000,1.27,1.3,0.030000000000000027,UP
IFX GY,INFINEON TECHNOLOGIES AG,501550,532550,31000,3.04,3.01,-0.03000000000000025,UP
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),145000,155000,10000,4.67,4.64,-0.03000000000000025,UP
MU US,MICRON TECHNOLOGY INC,91000,97000,6000,5.83,5.52,-0.3100000000000005,UP
MRVL US,MARVELL TECHNOLOGY INC,200000,200000,0,3.58,3.62,0.040000000000000036,WEIGHT_CHANGE
6515,穎崴,80000,80000,0,1.24,1.26,0.020000000000000018,WEIGHT_CHANGE
2360,致茂,110000,110000,0,0.53,0.52,-0.010000000000000009,WEIGHT_CHANGE
6223,旺矽,90000,90000,0,1.0,0.99,-0.010000000000000009,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,60000,60000,0,0.76,0.75,-0.010000000000000009,WEIGHT_CHANGE
AXTI US,AXT INC,90000,90000,0,0.57,0.55,-0.019999999999999907,WEIGHT_CHANGE
COHR US,COHERENT INC,34000,34000,0,0.84,0.82,-0.020000000000000018,WEIGHT_CHANGE
HOT GY,HOCHTIEF AG,20000,20000,0,0.68,0.66,-0.020000000000000018,WEIGHT_CHANGE
NVDA US,NVIDIA CORP(輝達公司),75000,75000,0,0.96,0.94,-0.020000000000000018,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1200000,1200000,0,2.15,2.12,-0.029999999999999805,WEIGHT_CHANGE
5274,信驊,46000,46000,0,1.56,1.53,-0.030000000000000027,WEIGHT_CHANGE
6274,台燿,230000,230000,0,0.74,0.71,-0.030000000000000027,WEIGHT_CHANGE
7769,鴻勁,36000,36000,0,0.51,0.48,-0.030000000000000027,WEIGHT_CHANGE
603256 CH,GRACE FABRIC TECHNOLOGY CO-A,450000,450000,0,0.78,0.74,-0.040000000000000036,WEIGHT_CHANGE
DDOG US,DATADOG INC - CLASS A,45000,45000,0,0.67,0.63,-0.040000000000000036,WEIGHT_CHANGE
GLW US,CORNING INC,56000,56000,0,0.67,0.63,-0.040000000000000036,WEIGHT_CHANGE
2308,台達電,307000,307000,0,1.42,1.35,-0.06999999999999984,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,170000,170000,0,2.9,2.83,-0.06999999999999984,WEIGHT_CHANGE
7826 JP,FURUYA METAL CO LTD,374300,374300,0,1.27,1.2,-0.07000000000000006,WEIGHT_CHANGE
CRWD US,CROWDSTRIKE HOLDINGS INC - A,23000,23000,0,1.02,0.95,-0.07000000000000006,WEIGHT_CHANGE
3436 JP,SUMCO CORP,875400,875400,0,1.45,1.37,-0.07999999999999985,WEIGHT_CHANGE
6787 JP,MEIKO ELECTRONICS CO LTD,175000,175000,0,2.41,2.33,-0.08000000000000007,WEIGHT_CHANGE
6963 JP,ROHM CO LTD,710000,710000,0,1.48,1.4,-0.08000000000000007,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,1.16,1.06,-0.09999999999999987,WEIGHT_CHANGE
SOI FP,S.O.I.T.E.C.,90000,90000,0,1.03,0.93,-0.09999999999999998,WEIGHT_CHANGE
2330,台積電,400000,400000,0,1.83,1.73,-0.10000000000000009,WEIGHT_CHANGE
2383,台光電,288000,288000,0,2.63,2.53,-0.10000000000000009,WEIGHT_CHANGE
3711,日月光投控,1100000,1100000,0,1.28,1.18,-0.10000000000000009,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,62000,62000,0,3.45,3.35,-0.10000000000000009,WEIGHT_CHANGE
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,270000,270000,0,0.98,0.85,-0.13,WEIGHT_CHANGE
ARM US,ARM HOLDINGS PLC,65518,65518,0,1.6,1.47,-0.13000000000000012,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,57000,57000,0,2.01,1.87,-0.13999999999999968,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,100000,100000,0,1.97,1.83,-0.1399999999999999,WEIGHT_CHANGE
5706 JP,Mitsui Mining ＆ Smelting Co,130000,130000,0,2.3,2.14,-0.1599999999999997,WEIGHT_CHANGE
2454,聯發科,350000,350000,0,3.0,2.82,-0.18000000000000016,WEIGHT_CHANGE
3037,欣興,1500000,1500000,0,2.83,2.65,-0.18000000000000016,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,135000,135000,0,3.91,3.71,-0.20000000000000018,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,275000,275000,0,2.24,1.98,-0.26000000000000023,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,870000,870000,0,3.36,3.08,-0.2799999999999998,WEIGHT_CHANGE
SNDK US,SANDISK CORP,38000,38000,0,4.13,3.82,-0.31000000000000005,WEIGHT_CHANGE
CIEN US,CIENA CORP,52000,52000,0,1.91,1.59,-0.31999999999999984,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),71000,71000,0,4.86,4.36,-0.5,WEIGHT_CHANGE
ORCL US,ORACLE CORP,50000,50000,0,0.68,0.68,0.0,SAME
