code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
2303,聯電,0,2000000,2000000,0.0,0.48,0.48,NEW
COHR US,COHERENT INC,38000,55000,17000,0.85,1.14,0.2899999999999999,UP
6963 JP,ROHM CO LTD,510000,332900,-177100,0.9,0.57,-0.33000000000000007,DOWN
HOT GY,HOCHTIEF AG,3000,0,-3000,0.09,0.0,-0.09,OUT
6787 JP,MEIKO ELECTRONICS CO LTD,175000,175000,0,1.79,2.07,0.2799999999999998,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,168000,168000,0,5.14,5.39,0.25,WEIGHT_CHANGE
5706 JP,Mitsui Mining ＆ Smelting Co,130000,130000,0,1.95,2.13,0.17999999999999994,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,960000,960000,0,3.25,3.42,0.16999999999999993,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,80000,0,5.71,5.86,0.15000000000000036,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,380000,380000,0,2.47,2.6,0.1299999999999999,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,72000,72000,0,2.54,2.66,0.1200000000000001,WEIGHT_CHANGE
603256 CH,GRACE FABRIC TECHNOLOGY CO-A,580000,580000,0,1.06,1.17,0.10999999999999988,WEIGHT_CHANGE
2454,聯發科,410000,410000,0,3.13,3.21,0.08000000000000007,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,170000,170000,0,2.51,2.59,0.08000000000000007,WEIGHT_CHANGE
3037,欣興,1500000,1500000,0,2.46,2.53,0.06999999999999984,WEIGHT_CHANGE
2383,台光電,330000,330000,0,2.84,2.9,0.06000000000000005,WEIGHT_CHANGE
2360,致茂,200000,200000,0,0.77,0.8,0.030000000000000027,WEIGHT_CHANGE
5274,信驊,46000,46000,0,1.4,1.43,0.030000000000000027,WEIGHT_CHANGE
2330,台積電,400000,400000,0,1.62,1.65,0.029999999999999805,WEIGHT_CHANGE
2308,台達電,350000,350000,0,1.32,1.34,0.020000000000000018,WEIGHT_CHANGE
6274,台燿,230000,230000,0,0.62,0.64,0.020000000000000018,WEIGHT_CHANGE
7769,鴻勁,36000,36000,0,0.44,0.46,0.020000000000000018,WEIGHT_CHANGE
3711,日月光投控,1100000,1100000,0,1.11,1.12,0.010000000000000009,WEIGHT_CHANGE
6223,旺矽,115000,115000,0,1.26,1.27,0.010000000000000009,WEIGHT_CHANGE
6515,穎崴,88000,88000,0,1.49,1.5,0.010000000000000009,WEIGHT_CHANGE
7826 JP,FURUYA METAL CO LTD,374300,374300,0,1.13,1.14,0.010000000000000009,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,0.89,0.88,-0.010000000000000009,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,275000,275000,0,2.1,2.09,-0.010000000000000231,WEIGHT_CHANGE
6920 JP,LASERTEC CORP,50000,50000,0,0.81,0.79,-0.020000000000000018,WEIGHT_CHANGE
CRWD US,CROWDSTRIKE HOLDINGS INC - A,28000,28000,0,1.05,1.03,-0.020000000000000018,WEIGHT_CHANGE
NVDA US,NVIDIA CORP(輝達公司),75000,75000,0,0.86,0.84,-0.020000000000000018,WEIGHT_CHANGE
8035 JP,TOKYO ELECTRON LTD,46000,46000,0,1.13,1.1,-0.029999999999999805,WEIGHT_CHANGE
3436 JP,SUMCO CORP,875400,875400,0,1.27,1.23,-0.040000000000000036,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,557550,557550,0,2.82,2.78,-0.040000000000000036,WEIGHT_CHANGE
ARM US,ARM HOLDINGS PLC,65518,65518,0,1.46,1.41,-0.050000000000000044,WEIGHT_CHANGE
SOI FP,S.O.I.T.E.C.,90000,90000,0,0.78,0.73,-0.050000000000000044,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,380000,380000,0,1.4,1.34,-0.05999999999999983,WEIGHT_CHANGE
BESI NA,BE SEMICONDUCTOR INDUSTRIES,90000,90000,0,1.77,1.69,-0.08000000000000007,WEIGHT_CHANGE
STM US,STMICROELECTRONICS NV-NY SHS,375000,375000,0,1.6,1.52,-0.08000000000000007,WEIGHT_CHANGE
NOK US,NOKIA CORP-SPON ADR,2100000,2100000,0,1.68,1.59,-0.08999999999999986,WEIGHT_CHANGE
VSH US,VISHAY INTERTECHNOLOGY INC,580429,580429,0,1.99,1.9,-0.09000000000000008,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,2.06,1.96,-0.10000000000000009,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,97000,97000,0,1.36,1.26,-0.10000000000000009,WEIGHT_CHANGE
AXTI US,AXT INC,140000,140000,0,0.84,0.71,-0.13,WEIGHT_CHANGE
SNDK US,SANDISK CORP,39000,39000,0,4.43,4.21,-0.21999999999999975,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,62000,62000,0,3.2,2.94,-0.26000000000000023,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,230000,230000,0,3.83,3.48,-0.3500000000000001,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),185000,185000,0,5.45,5.09,-0.3600000000000003,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,110500,110500,0,6.48,6.12,-0.3600000000000003,WEIGHT_CHANGE
DDOG US,DATADOG INC - CLASS A,60000,60000,0,0.75,0.75,0.0,SAME
