code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
LMT US,LOCKHEED MARTIN CORP,0,25000,25000,0.0,0.84,0.84,NEW
NOW US,SERVICENOW INC,270000,270000,0,1.53,1.66,0.1299999999999999,WEIGHT_CHANGE
2383,台光電,410000,410000,0,3.46,3.56,0.10000000000000009,WEIGHT_CHANGE
3037,欣興,2400000,2400000,0,3.57,3.67,0.10000000000000009,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,310000,310000,0,3.3,3.4,0.10000000000000009,WEIGHT_CHANGE
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,899909,899909,0,0.77,0.86,0.08999999999999997,WEIGHT_CHANGE
6976 JP,TAIYO YUDEN CO LTD,600000,600000,0,2.41,2.47,0.06000000000000005,WEIGHT_CHANGE
2330,台積電,750000,750000,0,3.13,3.18,0.050000000000000266,WEIGHT_CHANGE
6920 JP,LASERTEC CORP,130000,130000,0,1.97,2.02,0.050000000000000044,WEIGHT_CHANGE
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,189988,189988,0,0.64,0.68,0.040000000000000036,WEIGHT_CHANGE
6223,旺矽,190000,190000,0,1.92,1.96,0.040000000000000036,WEIGHT_CHANGE
8035 JP,TOKYO ELECTRON LTD,110000,110000,0,2.42,2.46,0.040000000000000036,WEIGHT_CHANGE
3436 JP,SUMCO CORP,500000,500000,0,0.64,0.67,0.030000000000000027,WEIGHT_CHANGE
FTNT US,FORTINET INC,200000,200000,0,1.75,1.78,0.030000000000000027,WEIGHT_CHANGE
3711,日月光投控,1800000,1800000,0,1.96,1.98,0.020000000000000018,WEIGHT_CHANGE
3017,奇鋐,115000,115000,0,0.49,0.5,0.010000000000000009,WEIGHT_CHANGE
3665,貿聯-KY,440000,440000,0,1.72,1.71,-0.010000000000000009,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,60000,60000,0,0.37,0.36,-0.010000000000000009,WEIGHT_CHANGE
2327,國巨*,1800000,1800000,0,2.05,2.03,-0.020000000000000018,WEIGHT_CHANGE
AIXA GY,AIXTRON SE,200000,200000,0,0.53,0.51,-0.020000000000000018,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,130000,130000,0,1.45,1.43,-0.020000000000000018,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,90000,90000,0,1.68,1.66,-0.020000000000000018,WEIGHT_CHANGE
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,200000,200000,0,2.45,2.42,-0.03000000000000025,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,180000,180000,0,3.54,3.5,-0.040000000000000036,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.94,3.9,-0.040000000000000036,WEIGHT_CHANGE
KLAC US,KLA CORP,160000,160000,0,1.94,1.9,-0.040000000000000036,WEIGHT_CHANGE
6871 JP,MICRONICS JAPAN CO LTD,370000,370000,0,2.0,1.95,-0.050000000000000044,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,108569,108569,0,5.75,5.69,-0.05999999999999961,WEIGHT_CHANGE
TSEM US,TOWER SEMICONDUCTOR LTD,186825,186825,0,2.51,2.44,-0.06999999999999984,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,80000,80000,0,2.39,2.32,-0.07000000000000028,WEIGHT_CHANGE
VECO US,VEECO INSTRUMENTS INC,500000,500000,0,1.49,1.41,-0.08000000000000007,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,625000,625000,0,2.64,2.55,-0.0900000000000003,WEIGHT_CHANGE
AMAT US,APPLIED MATERIALS INC,135000,135000,0,4.17,4.06,-0.11000000000000032,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,77000,77000,0,3.38,3.19,-0.18999999999999995,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),205000,205000,0,6.16,5.91,-0.25,WEIGHT_CHANGE
SNDK US,SANDISK CORP,35000,35000,0,2.89,2.61,-0.28000000000000025,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),83000,83000,0,4.39,4.39,0.0,SAME
2303,聯電,2500000,2500000,0,0.57,0.57,0.0,SAME
2308,台達電,320000,320000,0,1.01,1.01,0.0,SAME
2454,聯發科,445000,445000,0,2.96,2.96,0.0,SAME
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.45,1.45,0.0,SAME
AEHR US,AEHR TEST SYSTEMS,10459,10459,0,0.05,0.05,0.0,SAME
