code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
2303,聯電,5000000,7000000,2000000,1.35,1.92,0.5699999999999998,UP
INTC US,INTEL CORP,230000,300000,70000,1.46,1.83,0.3700000000000001,UP
TER US,TERADYNE INC,55000,70000,15000,1.26,1.58,0.32000000000000006,UP
AIXA GY,AIXTRON SE,200000,170000,-30000,0.53,0.44,-0.09000000000000002,DOWN
2308,台達電,570000,0,-570000,1.95,0.0,-1.95,OUT
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.76,4.03,0.27000000000000046,WEIGHT_CHANGE
3017,奇鋐,440000,440000,0,2.83,2.93,0.10000000000000009,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.01,3.09,0.08000000000000007,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,110000,110000,0,2.45,2.53,0.07999999999999963,WEIGHT_CHANGE
SPCX US,SPACE EXPLORATION TECHN-CL A,450000,450000,0,3.98,4.06,0.07999999999999963,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,4.91,4.98,0.07000000000000028,WEIGHT_CHANGE
2454,聯發科,250000,250000,0,2.2,2.27,0.06999999999999984,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.36,1.43,0.06999999999999984,WEIGHT_CHANGE
000660 KS,SK HYNIX INC,25000,25000,0,2.05,2.1,0.050000000000000266,WEIGHT_CHANGE
2383,台光電,400000,400000,0,4.09,4.14,0.04999999999999982,WEIGHT_CHANGE
MSFT US,MICROSOFT CORP(微軟公司),92000,92000,0,2.71,2.76,0.04999999999999982,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.37,4.4,0.03000000000000025,WEIGHT_CHANGE
NOW US,SERVICENOW INC,230000,230000,0,1.81,1.84,0.030000000000000027,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.58,2.61,0.029999999999999805,WEIGHT_CHANGE
4180 JP,APPIER GROUP INC,950000,950000,0,0.52,0.54,0.020000000000000018,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,55000,55000,0,0.75,0.77,0.020000000000000018,WEIGHT_CHANGE
2330,台積電,400000,400000,0,1.88,1.89,0.010000000000000009,WEIGHT_CHANGE
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,249997,249997,0,1.44,1.45,0.010000000000000009,WEIGHT_CHANGE
6515,穎崴,100000,100000,0,1.38,1.39,0.010000000000000009,WEIGHT_CHANGE
992 HK,LENOVO GROUP LTD,6000000,6000000,0,1.49,1.5,0.010000000000000009,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,70000,70000,0,1.32,1.33,0.010000000000000009,WEIGHT_CHANGE
NTRA US,NATERA INC,25000,25000,0,0.49,0.5,0.010000000000000009,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.81,0.8,-0.010000000000000009,WEIGHT_CHANGE
AEM US,AGNICO EAGLE MINES LTD,60000,60000,0,0.73,0.72,-0.010000000000000009,WEIGHT_CHANGE
NVDA US,NVIDIA CORP(輝達公司),175000,175000,0,2.35,2.33,-0.020000000000000018,WEIGHT_CHANGE
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,225000,0,2.29,2.27,-0.020000000000000018,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,50000,0,1.56,1.53,-0.030000000000000027,WEIGHT_CHANGE
SNDK US,SANDISK CORP,10000,10000,0,1.06,1.03,-0.030000000000000027,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,170000,170000,0,1.52,1.48,-0.040000000000000036,WEIGHT_CHANGE
CRCL US,CIRCLE INTERNET GROUP INC,480000,480000,0,2.68,2.64,-0.040000000000000036,WEIGHT_CHANGE
STX US,SEAGATE TECHNOLOGY,60000,60000,0,3.19,3.15,-0.040000000000000036,WEIGHT_CHANGE
TSEM US,TOWER SEMICONDUCTOR LTD,216825,216825,0,2.81,2.75,-0.06000000000000005,WEIGHT_CHANGE
4979,華星光,1510000,1510000,0,1.75,1.66,-0.09000000000000008,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,250000,250000,0,4.03,3.93,-0.10000000000000009,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,60000,60000,0,3.7,3.57,-0.13000000000000034,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,6.93,6.66,-0.2699999999999996,WEIGHT_CHANGE
HOOD US,ROBINHOOD MARKETS INC - A,300120,300120,0,2.07,2.07,0.0,SAME
IFX GY,INFINEON TECHNOLOGIES AG,300000,300000,0,1.19,1.19,0.0,SAME
