code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
BE US,BLOOM ENERGY CORP- A,310000,350000,40000,5.25,6.14,0.8899999999999997,UP
OKTA US,OKTA INC,80000,120000,40000,0.94,1.42,0.48,UP
INTC US,INTEL CORP,300000,320399,20399,1.9,2.18,0.28000000000000025,UP
AIXA GY,AIXTRON SE,57635,13635,-44000,0.14,0.03,-0.11000000000000001,DOWN
2383,台光電,300000,250000,-50000,3.0,2.3,-0.7000000000000002,DOWN
STX US,SEAGATE TECHNOLOGY,40000,20000,-20000,1.96,1.0,-0.96,DOWN
AEM US,AGNICO EAGLE MINES LTD,60000,0,-60000,0.74,0.0,-0.74,OUT
MU US,MICRON TECHNOLOGY INC,60000,60000,0,3.49,3.66,0.16999999999999993,WEIGHT_CHANGE
SPCX US,SPACE EXPLORATION TECHN-CL A,550000,550000,0,5.2,5.32,0.1200000000000001,WEIGHT_CHANGE
HOOD US,ROBINHOOD MARKETS INC - A,300120,300120,0,1.97,2.06,0.09000000000000008,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,50000,0,1.61,1.7,0.08999999999999986,WEIGHT_CHANGE
2303,聯電,7000000,7000000,0,1.95,2.02,0.07000000000000006,WEIGHT_CHANGE
NVDA US,NVIDIA CORP(輝達公司),175000,175000,0,2.35,2.4,0.04999999999999982,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.7,2.75,0.04999999999999982,WEIGHT_CHANGE
TER US,TERADYNE INC,70000,70000,0,1.5,1.54,0.040000000000000036,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,100000,100000,0,1.5,1.54,0.040000000000000036,WEIGHT_CHANGE
SNDK US,SANDISK CORP,7000,7000,0,0.67,0.71,0.039999999999999925,WEIGHT_CHANGE
NET US,CLOUDFLARE INC - CLASS A,70000,70000,0,1.43,1.46,0.030000000000000027,WEIGHT_CHANGE
NTRA US,NATERA INC,25000,25000,0,0.54,0.57,0.029999999999999916,WEIGHT_CHANGE
2330,台積電,400000,400000,0,1.87,1.9,0.029999999999999805,WEIGHT_CHANGE
CRWD US,CROWDSTRIKE HOLDINGS INC - A,130754,130754,0,1.98,2.01,0.029999999999999805,WEIGHT_CHANGE
MSFT US,MICROSOFT CORP(微軟公司),100000,100000,0,3.08,3.11,0.029999999999999805,WEIGHT_CHANGE
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,225000,0,2.46,2.48,0.020000000000000018,WEIGHT_CHANGE
4979,華星光,1510000,1510000,0,1.62,1.64,0.019999999999999796,WEIGHT_CHANGE
992 HK,LENOVO GROUP LTD,6000000,6000000,0,1.62,1.64,0.019999999999999796,WEIGHT_CHANGE
4180 JP,APPIER GROUP INC,950000,950000,0,0.59,0.58,-0.010000000000000009,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.77,0.76,-0.010000000000000009,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,37000,37000,0,0.76,0.74,-0.020000000000000018,WEIGHT_CHANGE
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,334997,334997,0,1.92,1.9,-0.020000000000000018,WEIGHT_CHANGE
6515,穎崴,100000,100000,0,1.22,1.2,-0.020000000000000018,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.53,3.51,-0.020000000000000018,WEIGHT_CHANGE
2454,聯發科,330000,330000,0,2.94,2.91,-0.029999999999999805,WEIGHT_CHANGE
3081,聯亞,150000,150000,0,0.83,0.8,-0.029999999999999916,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,300000,300000,0,1.2,1.17,-0.030000000000000027,WEIGHT_CHANGE
NOW US,SERVICENOW INC,230000,230000,0,2.02,1.99,-0.030000000000000027,WEIGHT_CHANGE
000660 KS,SK HYNIX INC,25000,25000,0,2.02,1.97,-0.050000000000000044,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1275100,1275100,0,1.47,1.4,-0.07000000000000006,WEIGHT_CHANGE
3037,欣興,2600000,2600000,0,4.91,4.79,-0.1200000000000001,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,4.17,4.03,-0.13999999999999968,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.43,4.21,-0.21999999999999975,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,6.75,6.53,-0.21999999999999975,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,220000,220000,0,2.0,2.01,0.009999999999999787,SAME
3017,奇鋐,440000,440000,0,2.75,2.75,0.0,SAME
