code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
000660 KS,SK HYNIX INC,25000,25000,0,2.03,2.03,0.0,SAME
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.59,4.59,0.0,SAME
2303,聯電,9700000,9700000,0,2.9,2.9,0.0,SAME
2330,台積電,200000,200000,0,0.93,0.93,0.0,SAME
2383,台光電,250000,250000,0,2.34,2.34,0.0,SAME
2454,聯發科,380000,380000,0,3.68,3.68,0.0,SAME
285A JP,KIOXIA HOLDINGS CORP,37000,37000,0,0.76,0.76,0.0,SAME
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,334997,334997,0,1.77,1.77,0.0,SAME
3017,奇鋐,510000,510000,0,3.31,3.31,0.0,SAME
3037,欣興,2600000,2600000,0,5.64,5.64,0.0,SAME
3081,聯亞,150000,150000,0,0.75,0.75,0.0,SAME
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,220000,220000,0,1.98,1.98,0.0,SAME
4180 JP,APPIER GROUP INC,950000,950000,0,0.54,0.54,0.0,SAME
4979,華星光,450000,450000,0,0.5,0.5,0.0,SAME
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.73,0.73,0.0,SAME
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,3.93,3.93,0.0,SAME
6997 JP,NIPPON CHEMI-CON CORP,1060000,1060000,0,1.11,1.11,0.0,SAME
992 HK,LENOVO GROUP LTD,6000000,6000000,0,1.67,1.67,0.0,SAME
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,50000,0,1.82,1.82,0.0,SAME
BE US,BLOOM ENERGY CORP- A,365000,365000,0,5.95,5.95,0.0,SAME
COIN US,COINBASE GLOBAL INC -CLASS A,70000,70000,0,0.82,0.82,0.0,SAME
CRWD US,CROWDSTRIKE HOLDINGS INC - A,130754,130754,0,2.03,2.03,0.0,SAME
HOOD US,ROBINHOOD MARKETS INC - A,400120,400120,0,2.91,2.91,0.0,SAME
IFX GY,INFINEON TECHNOLOGIES AG,300000,300000,0,1.19,1.19,0.0,SAME
INTC US,INTEL CORP,550399,550399,0,4.0,4.0,0.0,SAME
IREN US,IREN LTD,325000,325000,0,0.91,0.91,0.0,SAME
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,6.49,6.49,0.0,SAME
MSFT US,MICROSOFT CORP(微軟公司),40000,40000,0,1.19,1.19,0.0,SAME
MU US,MICRON TECHNOLOGY INC,60000,60000,0,3.81,3.81,0.0,SAME
NET US,CLOUDFLARE INC - CLASS A,82000,82000,0,1.71,1.71,0.0,SAME
NOW US,SERVICENOW INC,230000,230000,0,1.92,1.92,0.0,SAME
NTRA US,NATERA INC,25000,25000,0,0.58,0.58,0.0,SAME
NVDA US,NVIDIA CORP(輝達公司),175000,175000,0,2.34,2.34,0.0,SAME
OKTA US,OKTA INC,120000,120000,0,1.46,1.46,0.0,SAME
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.49,3.49,0.0,SAME
PLTR US,PALANTIR TECHNOLOGIES INC-A,275000,275000,0,3.12,3.12,0.0,SAME
SNDK US,SANDISK CORP,7000,7000,0,0.75,0.75,0.0,SAME
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.58,2.58,0.0,SAME
SPCX US,SPACE EXPLORATION TECHN-CL A,550000,550000,0,4.83,4.83,0.0,SAME
STX US,SEAGATE TECHNOLOGY,20000,20000,0,1.09,1.09,0.0,SAME
TER US,TERADYNE INC,70000,70000,0,1.61,1.61,0.0,SAME
TWLO US,TWILIO INC - A,100000,100000,0,1.72,1.72,0.0,SAME
