code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,275000,50000,2.47,3.01,0.5399999999999996,UP
2303,聯電,8500000,9700000,1200000,2.52,2.9,0.3799999999999999,UP
INTC US,INTEL CORP,450399,500399,50000,3.29,3.66,0.3700000000000001,UP
NET US,CLOUDFLARE INC - CLASS A,70000,82000,12000,1.48,1.71,0.22999999999999998,UP
MSFT US,MICROSOFT CORP(微軟公司),100000,80000,-20000,3.01,2.36,-0.6499999999999999,DOWN
4979,華星光,1510000,900000,-610000,1.76,1.02,-0.74,DOWN
2330,台積電,400000,200000,-200000,1.87,0.92,-0.9500000000000001,DOWN
6515,穎崴,60000,0,-60000,0.66,0.0,-0.66,OUT
3037,欣興,2600000,2600000,0,5.01,5.44,0.4300000000000006,WEIGHT_CHANGE
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,70000,0,4.35,4.52,0.16999999999999993,WEIGHT_CHANGE
MU US,MICRON TECHNOLOGY INC,60000,60000,0,3.76,3.89,0.13000000000000034,WEIGHT_CHANGE
2454,聯發科,380000,380000,0,3.59,3.67,0.08000000000000007,WEIGHT_CHANGE
TWLO US,TWILIO INC - A,100000,100000,0,1.6,1.68,0.07999999999999985,WEIGHT_CHANGE
TER US,TERADYNE INC,70000,70000,0,1.6,1.65,0.04999999999999982,WEIGHT_CHANGE
SNDK US,SANDISK CORP,7000,7000,0,0.74,0.78,0.040000000000000036,WEIGHT_CHANGE
STX US,SEAGATE TECHNOLOGY,20000,20000,0,1.05,1.09,0.040000000000000036,WEIGHT_CHANGE
SPCX US,SPACE EXPLORATION TECHN-CL A,550000,550000,0,5.01,5.03,0.020000000000000462,WEIGHT_CHANGE
992 HK,LENOVO GROUP LTD,6000000,6000000,0,1.64,1.66,0.020000000000000018,WEIGHT_CHANGE
IFX GY,INFINEON TECHNOLOGIES AG,300000,300000,0,1.2,1.22,0.020000000000000018,WEIGHT_CHANGE
NTRA US,NATERA INC,25000,25000,0,0.56,0.58,0.019999999999999907,WEIGHT_CHANGE
OKTA US,OKTA INC,120000,120000,0,1.38,1.39,0.010000000000000009,WEIGHT_CHANGE
285A JP,KIOXIA HOLDINGS CORP,37000,37000,0,0.77,0.76,-0.010000000000000009,WEIGHT_CHANGE
4180 JP,APPIER GROUP INC,950000,950000,0,0.55,0.54,-0.010000000000000009,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,500000,0,0.74,0.73,-0.010000000000000009,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,50000,0,1.85,1.84,-0.010000000000000009,WEIGHT_CHANGE
COIN US,COINBASE GLOBAL INC -CLASS A,70000,70000,0,0.84,0.83,-0.010000000000000009,WEIGHT_CHANGE
BE US,BLOOM ENERGY CORP- A,350000,350000,0,5.73,5.72,-0.010000000000000675,WEIGHT_CHANGE
6997 JP,NIPPON CHEMI-CON CORP,1060000,1060000,0,1.13,1.11,-0.019999999999999796,WEIGHT_CHANGE
3081,聯亞,150000,150000,0,0.81,0.79,-0.020000000000000018,WEIGHT_CHANGE
HOOD US,ROBINHOOD MARKETS INC - A,400120,400120,0,2.96,2.94,-0.020000000000000018,WEIGHT_CHANGE
NVDA US,NVIDIA CORP(輝達公司),175000,175000,0,2.39,2.37,-0.020000000000000018,WEIGHT_CHANGE
PANW US,PALO ALTO NETWORKS INC,150000,150000,0,3.34,3.32,-0.020000000000000018,WEIGHT_CHANGE
000660 KS,SK HYNIX INC,25000,25000,0,2.03,2.0,-0.029999999999999805,WEIGHT_CHANGE
CRWD US,CROWDSTRIKE HOLDINGS INC - A,130754,130754,0,1.96,1.93,-0.030000000000000027,WEIGHT_CHANGE
NOW US,SERVICENOW INC,230000,230000,0,1.9,1.86,-0.039999999999999813,WEIGHT_CHANGE
2383,台光電,250000,250000,0,2.31,2.27,-0.040000000000000036,WEIGHT_CHANGE
3017,奇鋐,440000,440000,0,2.84,2.78,-0.06000000000000005,WEIGHT_CHANGE
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,130000,0,2.65,2.59,-0.06000000000000005,WEIGHT_CHANGE
6981 JP,MURATA MANUFACTURING CO LTD,1350000,1350000,0,4.0,3.93,-0.06999999999999984,WEIGHT_CHANGE
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,334997,334997,0,1.86,1.79,-0.07000000000000006,WEIGHT_CHANGE
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,220000,220000,0,2.1,2.02,-0.08000000000000007,WEIGHT_CHANGE
LITE US,LUMENTUM HOLDINGS INC,117000,117000,0,6.7,6.54,-0.16000000000000014,WEIGHT_CHANGE
